path,label,shot,ntor,mode_filename,omega,rules_decision,rules_reason,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,nearest_gate,rules_selected_final,rf_cnn_selected_final,original_rule_decision,decision_source,input_fingerprint,mode_key
nstxuE202926A03t025/N3/egn03w.1151E+02,good,nstxuE202926A03t025,3,egn03w.1151E+02,3.3930995396568804,GOOD,NO_GOOD_TEMPLATE,GOOD,GOOD,GOOD,0.71,0.9999964237213135,gold_good,0.43684482343004816,BAD_GRID_SCALE_SPIKE,True,True,REVIEW,rule_survivor_policy,4f049b0a4a60293d7d9dcdd726c59fd0d39160497985ce8a167059b739246141,nstxuE202926A03t025/N3/egn03w.1151E+02
nstxuE202926A03t025/N4/egn04w.3735E+01,good,nstxuE202926A03t025,4,egn04w.3735E+01,1.9325924025323238,GOOD,NO_GOOD_TEMPLATE,GOOD,GOOD,BAD,0.88,0.0013475752202793956,flagged_rf_only_good,0.3587505724343471,BAD_GRID_SCALE_SPIKE,True,True,REVIEW,rule_survivor_policy,cfd640fce43bd155520b76f99e10aabda93756f6036191fd2deb68f25a0ea5c9,nstxuE202926A03t025/N4/egn04w.3735E+01
nstxuE203655F01t025/N2/egn02w.2035E+02,bad,nstxuE203655F01t025,2,egn02w.2035E+02,4.511447769687512,BAD,BAD_EDGE_SPIKE,BAD,BAD,BAD,0.35,6.126131232072479e-14,silver_bad,1.3802607312863306,BAD_EDGE_SPIKE,,,BAD,rule_engine,16b3faf400137c2c0739f851d902a23aae99a00a16abafe104b9e53b1f84c1ad,nstxuE203655F01t025/N2/egn02w.2035E+02
nstxuE205057A01t020/N4/egn04w.1444E+02,bad,nstxuE205057A01t020,4,egn04w.1444E+02,3.799360581807431,BAD,BAD_EDGE_SPIKE,BAD,BAD,BAD,0.22,0.002803366631269455,silver_bad,1.163842132679215,BAD_EDGE_SPIKE,,,BAD,rule_engine,94668f9f4ecb408ad1a2ea0d870b2df0a55fe7bab3815fefc376c6c3dd316424,nstxuE205057A01t020/N4/egn04w.1444E+02
nstxuG142301L94/N9/egn09w.2746E+02,good,nstxuG142301L94,9,egn09w.2746E+02,5.239938863456631,GOOD,NO_GOOD_TEMPLATE,GOOD,GOOD,BAD,0.5266666666666666,3.5725003044717596e-07,flagged_rf_only_good,0.7164411648415939,BAD_CONT_CROSS_WINDOW,True,True,REVIEW,rule_survivor_policy,51499bc25ef2e08afc4d569a14285327e8a87a75f712a07ac403bb7011febe5c,nstxuG142301L94/N9/egn09w.2746E+02
