path,label,shot,ntor,mode_filename,omega,rules_decision,rules_reason,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,nearest_gate,rules_selected_final,rf_cnn_selected_final,original_rule_decision,decision_source,input_fingerprint,mode_key
nstxuE205045A01t022/N10/egn10w.2009E+02,bad,nstxuE205045A01t022,10,egn10w.2009E+02,4.481843281765066,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.006666666666666667,1.0,flagged_borderline_or_disagreement,9.746064101102329,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,252006087e7ee515f0c72f05c931a862af136c1f5cc3d2dc288969e167a79639,nstxuE205045A01t022/N10/egn10w.2009E+02
nstxuE205045A01t022/N10/egn10w.2239E+02,bad,nstxuE205045A01t022,10,egn10w.2239E+02,4.732188840835598,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.03333333333333333,1.0,flagged_borderline_or_disagreement,9.237366957777752,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,dd7c692e8683551f400e12752cb4d36f084248f898ed7c0e41a9f3915114ac3b,nstxuE205045A01t022/N10/egn10w.2239E+02
nstxuE205045A01t022/N10/egn10w.2350E+02,bad,nstxuE205045A01t022,10,egn10w.2350E+02,4.8473092822679,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.11666666666666667,1.0,flagged_borderline_or_disagreement,3.202714215763222,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,a540343f0d9fe0ad7a4bc70bfdba50b4f96d1a3dee1cc8ed324dfdeccc93fc1e,nstxuE205045A01t022/N10/egn10w.2350E+02
nstxuE205045A01t022/N10/egn10w.3699E+02,bad,nstxuE205045A01t022,10,egn10w.3699E+02,6.081539723719993,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,BAD,GOOD,0.25,0.9998641014099121,flagged_borderline_or_disagreement,1.4969006332475543,BAD_CONTINUUM_CROSSING_TAIL,,,BAD,rule_engine,d5ecd89dc8d002785640a8e6388f0ab8a28f90c7a0f11cc53237a703a807551f,nstxuE205045A01t022/N10/egn10w.3699E+02
nstxuE205045A01t022/N10/egn10w.5337E+02,bad,nstxuE205045A01t022,10,egn10w.5337E+02,7.305424208205989,BAD,BAD_CONTINUUM_CROSSING_TAIL,BAD,BAD,GOOD,0.06666666666666667,0.8277349472045898,flagged_borderline_or_disagreement,3.0883639362912874,BAD_CONTINUUM_CROSSING_TAIL,,,BAD,rule_engine,956f3790ba06338eb9f77f748da4fb824d52dd0ab9b463958bf112059ff6af76,nstxuE205045A01t022/N10/egn10w.5337E+02
nstxuE205054A01t037/N2/egn02w.2003E+02,bad,nstxuE205054A01t037,2,egn02w.2003E+02,4.475927595166289,BAD,BAD_AXIS_SPIKE,BAD,BAD,GOOD,0.20333333333333334,1.0,flagged_borderline_or_disagreement,3.0541047922221787,BAD_AXIS_SPIKE,,,BAD,rule_engine,c61a36341c6565e39bc3ca31d0fb7854fc84b47c86ce0451a797b3baf53ae4a7,nstxuE205054A01t037/N2/egn02w.2003E+02
nstxuE205054A01t037/N2/egn02w.7501E+02,bad,nstxuE205054A01t037,2,egn02w.7501E+02,8.660834454828668,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.06333333333333334,0.8793148398399353,flagged_borderline_or_disagreement,20.0,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,7b60d19e1f2129f39489d5883d60759fe068c125779926560b9f6af60853996f,nstxuE205054A01t037/N2/egn02w.7501E+02
nstxuE205054A01t037/N3/egn03w.1389E+02,bad,nstxuE205054A01t037,3,egn03w.1389E+02,3.726779119683361,BAD,BAD_AXIS_SPIKE,GOOD,GOOD,GOOD,0.8933333333333333,1.0,gold_good,2.288244077227065,BAD_AXIS_SPIKE,,True,BAD,rule_engine,f9ed7630e2b088cddba34399032246ff987d1cacefd931b0aeb24b2cbdb886eb,nstxuE205054A01t037/N3/egn03w.1389E+02
nstxuE205054A01t037/N3/egn03w.1747E+02,good,nstxuE205054A01t037,3,egn03w.1747E+02,4.179207347605085,GOOD,NO_GOOD_TEMPLATE,GOOD,GOOD,BAD,0.7166666666666667,0.05125599727034569,flagged_rf_only_good,0.7376244291486587,BAD_GRID_SCALE_SPIKE,True,True,REVIEW,rule_survivor_policy,9ec6e59428d115a284c7fa9c8280616639dac264cd5a238ffd2ae2f4879e3c8e,nstxuE205054A01t037/N3/egn03w.1747E+02
nstxuE205054A01t037/N3/egn03w.2785E+02,bad,nstxuE205054A01t037,3,egn03w.2785E+02,5.277071299187699,BAD,BAD_CONT_CROSS_WINDOW,GOOD,GOOD,GOOD,0.6,1.0,silver_good,5.425610503700421,BAD_CONT_CROSS_WINDOW,,True,BAD,rule_engine,a63d49c189363d81346a9c3919f37ef2bf15e8891cd5d23a8886d1b99322fc16,nstxuE205054A01t037/N3/egn03w.2785E+02
