boundary,crossing_r,singularity_r,offset_r,offset_grid,shot,ntor,path,in_training_list,gap_region,nr,in_interior
high,0.8366290757422598,0.835,0.001629075742259789,0.3258151484519578,nstxuE202947A03t037,1,nstxuE202947A03t037/N1/egn01w.6677E+02,False,tae_like,201,False
high,0.25924247136394535,0.255,0.004242471363945344,0.8484942727890687,nstxuE203609A01t037,1,nstxuE203609A01t037/N1/egn01w.4856E+02,False,tae_like,201,True
high,0.6435211451921837,0.9550000000000001,-0.31147885480781634,-62.29577096156327,nstxuE203609A01t037,1,nstxuE203609A01t037/N1/egn01w.4856E+02,False,tae_like,201,True
high,0.6684903838579019,0.9550000000000001,-0.28650961614209813,-57.301923228419625,nstxuE203609A01t037,1,nstxuE203609A01t037/N1/egn01w.4856E+02,False,tae_like,201,True
high,0.9525290796908169,0.9550000000000001,-0.0024709203091831666,-0.4941840618366333,nstxuE203609A01t037,1,nstxuE203609A01t037/N1/egn01w.4856E+02,False,tae_like,201,False
high,0.6586161928041181,0.655,0.003616192804118068,0.7232385608236136,nstxuE203963A01t017,1,nstxuE203963A01t017/N1/egn01w.2081E+02,False,tae_like,201,True
high,0.748631626062536,0.655,0.09363162606253594,18.726325212507188,nstxuE203963A01t017,1,nstxuE203963A01t017/N1/egn01w.2081E+02,False,tae_like,201,True
high,0.7509385454782144,0.655,0.09593854547821434,19.18770909564287,nstxuE203963A01t017,1,nstxuE203963A01t017/N1/egn01w.2081E+02,False,tae_like,201,False
high,0.665617635649692,0.655,0.010617635649691981,2.123527129938396,nstxuE203963A01t030,1,nstxuE203963A01t030/N1/egn01w.2638E+02,False,tae_like,201,True
high,0.8669405956697485,0.875,-0.00805940433025154,-1.6118808660503081,nstxuE203963A01t030,1,nstxuE203963A01t030/N1/egn01w.2638E+02,False,tae_like,201,False
high,0.6754575465455864,0.66,0.015457546545586398,3.0915093091172796,nstxuE203963A01t030,1,nstxuE203963A01t030/N1/egn01w.2642E+02,False,tae_like,201,True
high,0.7000549161698303,0.66,0.04005491616983026,8.010983233966051,nstxuE203963A01t030,1,nstxuE203963A01t030/N1/egn01w.2642E+02,False,tae_like,201,True
high,0.7207212901167797,0.66,0.060721290116779625,12.144258023355924,nstxuE203963A01t030,1,nstxuE203963A01t030/N1/egn01w.2642E+02,False,tae_like,201,True
high,0.8665473430650349,0.87,-0.0034526569349651037,-0.6905313869930207,nstxuE203963A01t030,1,nstxuE203963A01t030/N1/egn01w.2642E+02,False,tae_like,201,False
high,0.6313675349894841,0.025,0.606367534989484,121.2735069978968,nstxuE203981A01t019,1,nstxuE203981A01t019/N1/egn01w.1148E+02,False,tae_like,201,True
high,0.636832243782843,0.025,0.611832243782843,122.36644875656859,nstxuE203981A01t019,1,nstxuE203981A01t019/N1/egn01w.1148E+02,False,tae_like,201,True
high,0.7104969916130642,0.7000000000000001,0.010496991613064166,2.099398322612833,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2708E+02,False,tae_like,201,True
high,0.8939667979510826,0.925,-0.031033202048917463,-6.206640409783493,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2708E+02,False,tae_like,201,False
high,0.9093365803156008,0.925,-0.015663419684399216,-3.132683936879843,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2708E+02,False,tae_like,201,False
high,0.9227750427458357,0.925,-0.0022249572541643836,-0.4449914508328767,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2708E+02,False,tae_like,201,False
high,0.7157017062798562,0.705,0.010701706279856227,2.1403412559712454,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2729E+02,False,mixed,201,True
high,0.7469033007573831,0.705,0.04190330075738313,8.380660151476626,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2729E+02,False,mixed,201,True
high,0.7681990849862212,0.705,0.06319908498622129,12.639816997244257,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2729E+02,False,mixed,201,False
high,0.8925307904329284,0.895,-0.0024692095670716396,-0.4938419134143279,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2729E+02,False,mixed,201,False
high,0.911898574865506,0.92,-0.008101425134494078,-1.6202850268988156,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2729E+02,False,mixed,201,False
high,0.9212528492585874,0.92,0.001252849258587374,0.2505698517174748,nstxuE203981A01t022,1,nstxuE203981A01t022/N1/egn01w.2729E+02,False,mixed,201,False
high,0.6579090926839809,0.655,0.002909092683980874,0.5818185367961748,nstxuE204707A04t015,1,nstxuE204707A04t015/N1/egn01w.1702E+02,False,mixed,201,True
high,0.7114195435574304,0.655,0.056419543557430396,11.28390871148608,nstxuE204707A04t015,1,nstxuE204707A04t015/N1/egn01w.1702E+02,False,mixed,201,True
high,0.7214833892528251,0.655,0.06648338925282504,13.296677850565008,nstxuE204707A04t015,1,nstxuE204707A04t015/N1/egn01w.1702E+02,False,mixed,201,True
high,0.9569058344961439,0.655,0.30190583449614383,60.38116689922877,nstxuE204707A04t015,1,nstxuE204707A04t015/N1/egn01w.1702E+02,False,mixed,201,False
high,0.5458834127304172,0.53,0.015883412730417157,3.1766825460834314,nstxuE204707A04t025,1,nstxuE204707A04t025/N1/egn01w.2590E+02,False,tae_like,201,True
high,0.7913899467200458,0.845,-0.05361005327995416,-10.722010655990832,nstxuE204707A04t025,1,nstxuE204707A04t025/N1/egn01w.2590E+02,False,tae_like,201,False
high,0.8115918716795603,0.845,-0.03340812832043971,-6.681625664087942,nstxuE204707A04t025,1,nstxuE204707A04t025/N1/egn01w.2590E+02,False,tae_like,201,False
high,0.8431977289908095,0.845,-0.0018022710091905036,-0.36045420183810073,nstxuE204707A04t025,1,nstxuE204707A04t025/N1/egn01w.2590E+02,False,tae_like,201,False
high,0.5486261188263676,0.535,0.01362611882636755,2.72522376527351,nstxuE204707A04t025,1,nstxuE204707A04t025/N1/egn01w.2595E+02,False,tae_like,201,True
high,0.7902247739514371,0.845,-0.054775226048562886,-10.955045209712576,nstxuE204707A04t025,1,nstxuE204707A04t025/N1/egn01w.2595E+02,False,tae_like,201,False
high,0.8127297087704862,0.845,-0.03227029122951375,-6.45405824590275,nstxuE204707A04t025,1,nstxuE204707A04t025/N1/egn01w.2595E+02,False,tae_like,201,False
high,0.8426971751055354,0.845,-0.002302824894464539,-0.4605649788929078,nstxuE204707A04t025,1,nstxuE204707A04t025/N1/egn01w.2595E+02,False,tae_like,201,False
high,0.6640293330996462,0.66,0.0040293330996461485,0.8058666199292297,nstxuE204707X02t017,1,nstxuE204707X02t017/N1/egn01w.1471E+02,False,tae_like,201,True
high,0.7067342626379778,0.66,0.04673426263797775,9.346852527595551,nstxuE204707X02t017,1,nstxuE204707X02t017/N1/egn01w.1471E+02,False,tae_like,201,True
high,0.7199389034773588,0.66,0.05993890347735875,11.98778069547175,nstxuE204707X02t017,1,nstxuE204707X02t017/N1/egn01w.1471E+02,False,tae_like,201,True
high,0.6260538558886992,0.595,0.031053855888699244,6.210771177739849,nstxuE204707X02t027,1,nstxuE204707X02t027/N1/egn01w.3240E+02,False,tae_like,201,True
high,0.8744415380246243,0.875,-0.0005584619753756792,-0.11169239507513584,nstxuE204707X02t027,1,nstxuE204707X02t027/N1/egn01w.3240E+02,False,tae_like,201,False
low,0.01233999910366532,0.02,-0.00766000089633468,-1.532000179266936,nstxuE204944A01t035,1,nstxuE204944A01t035/N1/egn01w.1928E+02,False,tae_like,201,False
high,0.9896315308883564,0.02,0.9696315308883564,193.92630617767128,nstxuE204944A01t035,1,nstxuE204944A01t035/N1/egn01w.1958E+02,False,tae_like,201,False
high,0.9841920509513482,0.985,-0.0008079490486517793,-0.16158980973035586,nstxuE204944A01t035,1,nstxuE204944A01t035/N1/egn01w.2282E+02,False,tae_like,201,False
high,0.6378354760367727,0.625,0.012835476036772708,2.5670952073545417,nstxuE205016A01t020,1,nstxuE205016A01t020/N1/egn01w.1329E+02,False,mixed,201,True
high,0.5462207857553529,0.54,0.006220785755352898,1.2441571510705796,nstxuE205054A01t017,1,nstxuE205054A01t017/N1/egn01w.1565E+02,False,tae_like,201,True
high,0.6624601275582771,0.54,0.12246012755827707,24.492025511655413,nstxuE205054A01t017,1,nstxuE205054A01t017/N1/egn01w.1565E+02,False,tae_like,201,True
high,0.6713778420025588,0.54,0.13137784200255875,26.27556840051175,nstxuE205054A01t017,1,nstxuE205054A01t017/N1/egn01w.1565E+02,False,tae_like,201,True
high,0.9181311160985118,0.92,-0.0018688839014882053,-0.37377678029764105,nstxuE205054A01t017,1,nstxuE205054A01t017/N1/egn01w.1565E+02,False,tae_like,201,False
high,0.9228824474887223,0.92,0.0028824474887222395,0.5764894977444479,nstxuE205054A01t017,1,nstxuE205054A01t017/N1/egn01w.1565E+02,False,tae_like,201,False
high,0.9326054499339553,0.93,0.002605449933955284,0.5210899867910568,nstxuE205054A01t017,1,nstxuE205054A01t017/N1/egn01w.1565E+02,False,tae_like,201,False
high,0.4511324609748559,0.845,-0.3938675390251441,-78.77350780502881,nstxuE205055A01t017,1,nstxuE205055A01t017/N1/egn01w.1997E+02,False,mixed,201,True
high,0.46582089117302816,0.845,-0.3791791088269718,-75.83582176539436,nstxuE205055A01t017,1,nstxuE205055A01t017/N1/egn01w.1997E+02,False,mixed,201,True
high,0.8478068828333516,0.845,0.0028068828333516205,0.5613765666703241,nstxuE205055A01t017,1,nstxuE205055A01t017/N1/egn01w.1997E+02,False,mixed,201,False
high,0.8625615163742,0.86,0.0025615163741999902,0.512303274839998,nstxuE205055A01t017,1,nstxuE205055A01t017/N1/egn01w.1997E+02,False,mixed,201,False
high,0.8727533920232154,0.87,0.0027533920232154507,0.5506784046430901,nstxuE205055A01t017,1,nstxuE205055A01t017/N1/egn01w.1997E+02,False,mixed,201,False
high,0.17218728132435146,0.155,0.01718728132435146,3.437456264870292,nstxuE205059A01t025,1,nstxuE205059A01t025/N1/egn01w.2265E+02,False,tae_like,201,True
high,0.9615937179836529,0.97,-0.008406282016347078,-1.6812564032694155,nstxuE205059A01t025,1,nstxuE205059A01t025/N1/egn01w.2265E+02,False,tae_like,201,False
high,0.17721236126795986,0.16,0.017212361267959858,3.442472253591972,nstxuE205059A01t025,1,nstxuE205059A01t025/N1/egn01w.2275E+02,False,mixed,201,True
high,0.9611567286036252,0.965,-0.003843271396374748,-0.7686542792749496,nstxuE205059A01t025,1,nstxuE205059A01t025/N1/egn01w.2275E+02,False,mixed,201,False
high,0.56248049600097,0.555,0.007480496000970005,1.496099200194001,nstxuE205059A01t025,1,nstxuE205059A01t025/N1/egn01w.4340E+02,False,tae_like,201,True
high,0.8053803717022197,0.805,0.00038037170221960626,0.07607434044392125,nstxuE205059A01t025,1,nstxuE205059A01t025/N1/egn01w.4340E+02,False,tae_like,201,False
low,0.5010062728341034,0.5,0.0010062728341033722,0.20125456682067444,nstxuE205059A01t025,1,nstxuE205059A01t025/N1/egn01w.7184E+01,False,tae_like,201,True
low,0.27210346132262697,0.26,0.012103461322626963,2.4206922645253925,nstxuG121123N22,1,nstxuG121123N22/N1/egn01w.1748E+02,False,tae_like,201,True
low,0.3342845399520303,0.26,0.07428453995203027,14.856907990406054,nstxuG121123N22,1,nstxuG121123N22/N1/egn01w.1748E+02,False,tae_like,201,True
high,0.01340465170094918,0.01,0.0034046517009491805,0.6809303401898361,nstxuG121123N22,1,nstxuG121123N22/N1/egn01w.1748E+02,False,tae_like,201,False
high,0.2288179036913299,0.245,-0.016182096308670096,-3.236419261734019,nstxuG121123N22,1,nstxuG121123N22/N1/egn01w.1748E+02,False,tae_like,201,True
high,0.013124289444258213,0.01,0.0031242894442582124,0.6248578888516425,nstxuG121123N22,1,nstxuG121123N22/N1/egn01w.1827E+02,False,tae_like,201,False
high,0.23941225217348197,0.01,0.22941225217348196,45.882450434696395,nstxuG121123N22,1,nstxuG121123N22/N1/egn01w.1827E+02,False,tae_like,201,True
