shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_interior_abs_gt_2,n_raw_modes,n_raw_no_frequency_match,n_raw_incomplete_or_conflicting,n_raw_informative_modes,n_raw_interior_crossings,raw_fraction_abs_gt_2,n_empty_log_matches,n_core_crossings_in_empty_log_modes
nstxuG142301E77,2,4,4,0,0,0,4,8,0.028377336807708375,1.0368057724449238,0.25,0.5,4.493843680926143,,2,37,0,0,13,26,0.38461538461538464,0,0
nstxuG142301F62,2,30,30,0,0,0,30,50,2.3069914623741417,3.3097988259328748,0.74,0.84,102.00557453264862,,37,51,0,0,34,54,0.7407407407407407,0,0
nstxuG142301F66,2,17,17,0,0,0,17,25,0.8943967366162875,1.0162200745469807,0.36,0.92,15.243407911454433,,9,56,0,0,21,32,0.46875,0,0
nstxuG142301F83,2,10,10,0,0,0,10,24,2.2477400123265503,2.75222141618921,0.5833333333333334,0.9166666666666666,16.904437814277998,,14,55,0,0,26,56,0.8214285714285714,0,0
nstxuG142301K79,2,29,29,0,0,0,29,41,1.3947283991885884,1.6932550339053831,0.3170731707317073,0.8536585365853658,8.671477583833331,,13,44,0,0,33,46,0.32608695652173914,0,0
nstxuG142301L89,2,16,16,0,0,0,16,17,1.13005990739794,1.13005990739794,0.058823529411764705,1.0,1.632974884247349,,1,41,0,0,17,18,0.05555555555555555,0,0
nstxuG142301M21,2,0,0,0,0,0,0,0,,,,,,,0,242,0,242,0,0,,0,0
nstxuG142301M32,2,10,10,0,0,0,10,19,0.7894241660858947,1.0840596123672026,0.2631578947368421,0.8421052631578947,6.334621038363339,,5,42,0,0,17,33,0.5151515151515151,0,0
nstxuG142301Q91,2,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,0,0
nstxuG142301S39,2,13,13,0,0,0,13,25,1.7796728238189896,2.0537895759688007,0.56,0.68,8.640909142436819,,14,38,0,0,38,75,0.7333333333333333,0,0
nstxuG142301S94,2,28,28,0,0,0,28,28,0.9446657338590736,0.9446657338590736,0.0,0.9642857142857143,1.2866220947461615,,0,28,0,0,28,28,0.0,0,0
nstxuG142301U85,2,13,13,0,0,0,13,19,0.46681662537089164,0.6263540004245005,0.10526315789473684,0.8421052631578947,2.863334810715104,,2,63,0,0,29,48,0.3541666666666667,0,0
nstxu_202806,2,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,0,0
