shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_interior_abs_gt_2,n_raw_modes,n_raw_no_frequency_match,n_raw_incomplete_or_conflicting,n_raw_informative_modes,n_raw_interior_crossings,raw_fraction_abs_gt_2,n_empty_log_matches,n_core_crossings_in_empty_log_modes
nstxuE204621A03t025,2,15,10,0,0,0,9,10,0.15550841075098187,0.15550841075098187,0.1,1.0,1.8973490119232759,,1,44,0,0,31,32,0.03125,5,0
nstxuE204636A01t017,2,7,3,0,0,0,3,5,0.4824585397362968,0.4824585397362968,0.0,1.0,0.8584852001766086,,0,24,0,0,12,16,0.0,4,0
nstxuE204636A01t020,2,7,6,0,0,0,5,7,0.5810912188034867,0.5810912188034867,0.0,1.0,1.0266544065869554,,0,28,0,0,24,26,0.0,1,0
nstxuE204636A01t025,2,9,1,0,0,0,1,1,0.5333553625305631,0.5333553625305631,0.0,1.0,0.5333553625305631,,0,21,0,0,12,22,0.0,8,0
nstxuE204645A16t020,2,13,7,0,0,0,6,6,0.4932763025689568,0.4932763025689568,0.0,1.0,0.6795636224819102,,0,24,0,0,17,17,0.0,6,0
nstxuE204645A16t025,2,11,7,0,0,0,7,7,0.2758260477760288,0.2758260477760288,0.0,1.0,0.8317020356593076,,0,25,0,0,16,16,0.0,4,0
nstxuE204645A16t030,2,14,13,0,0,0,13,17,0.1469021643829782,0.16155646958702086,0.0,0.9411764705882353,0.9963044591607463,,0,22,0,0,14,18,0.0,1,0
nstxuE204669M03t015,2,9,9,0,0,0,9,47,0.5391183046047021,0.5391183046047021,0.0,0.9574468085106383,0.921889686428603,,0,37,0,0,20,97,0.0,0,0
nstxuE204669M03t020,2,3,0,0,0,0,0,0,,,,,,,0,13,0,0,6,6,0.0,3,0
nstxuE204669M03t030,2,14,14,0,0,0,14,24,0.601662072043721,0.601662072043721,0.0,0.9166666666666666,1.0679703416913788,,0,44,0,0,24,34,0.029411764705882353,0,0
nstxuE204678M01t017,2,15,10,0,0,0,10,13,0.4512473718802257,0.4512473718802257,0.0,1.0,0.6133172155787842,,0,17,0,0,12,17,0.0,5,0
