cohort,top2_min,local_min,radial_min,eligible_modes,good_modes,bad_modes,unlabeled_modes,good_survivors,bad_survivors,unlabeled_survivors,flagged_modes,good_flagged,bad_flagged,unlabeled_flagged,good_survivors_flagged,bad_survivors_flagged,unlabeled_survivors_flagged
training,0.015,0.15,6.0,2363,575,1788,0,542,25,0,137,0,137,0,0,1,0
batch_survivors,0.015,0.15,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.15,8.0,2363,575,1788,0,542,25,0,104,0,104,0,0,1,0
batch_survivors,0.015,0.15,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.15,10.0,2363,575,1788,0,542,25,0,64,0,64,0,0,1,0
batch_survivors,0.015,0.15,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.15,12.0,2363,575,1788,0,542,25,0,40,0,40,0,0,1,0
batch_survivors,0.015,0.15,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.15,14.0,2363,575,1788,0,542,25,0,29,0,29,0,0,1,0
batch_survivors,0.015,0.15,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.15,16.0,2363,575,1788,0,542,25,0,15,0,15,0,0,0,0
batch_survivors,0.015,0.2,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.2,2.0,2363,575,1788,0,542,25,0,164,0,164,0,0,1,0
batch_survivors,0.015,0.2,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.2,4.0,2363,575,1788,0,542,25,0,139,0,139,0,0,1,0
batch_survivors,0.015,0.2,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.2,6.0,2363,575,1788,0,542,25,0,109,0,109,0,0,1,0
batch_survivors,0.015,0.2,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.2,8.0,2363,575,1788,0,542,25,0,86,0,86,0,0,1,0
batch_survivors,0.015,0.2,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.2,10.0,2363,575,1788,0,542,25,0,54,0,54,0,0,1,0
batch_survivors,0.015,0.2,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.2,12.0,2363,575,1788,0,542,25,0,36,0,36,0,0,1,0
batch_survivors,0.015,0.2,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.2,14.0,2363,575,1788,0,542,25,0,25,0,25,0,0,1,0
batch_survivors,0.015,0.2,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.2,16.0,2363,575,1788,0,542,25,0,13,0,13,0,0,0,0
batch_survivors,0.015,0.25,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.25,2.0,2363,575,1788,0,542,25,0,123,0,123,0,0,1,0
batch_survivors,0.015,0.25,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.25,4.0,2363,575,1788,0,542,25,0,103,0,103,0,0,1,0
batch_survivors,0.015,0.25,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.25,6.0,2363,575,1788,0,542,25,0,81,0,81,0,0,1,0
batch_survivors,0.015,0.25,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.25,8.0,2363,575,1788,0,542,25,0,68,0,68,0,0,1,0
batch_survivors,0.015,0.25,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.25,10.0,2363,575,1788,0,542,25,0,44,0,44,0,0,1,0
batch_survivors,0.015,0.25,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.25,12.0,2363,575,1788,0,542,25,0,28,0,28,0,0,1,0
batch_survivors,0.015,0.25,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.25,14.0,2363,575,1788,0,542,25,0,19,0,19,0,0,1,0
batch_survivors,0.015,0.25,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.25,16.0,2363,575,1788,0,542,25,0,8,0,8,0,0,0,0
batch_survivors,0.015,0.3,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.3,2.0,2363,575,1788,0,542,25,0,97,0,97,0,0,1,0
batch_survivors,0.015,0.3,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.3,4.0,2363,575,1788,0,542,25,0,83,0,83,0,0,1,0
batch_survivors,0.015,0.3,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.3,6.0,2363,575,1788,0,542,25,0,65,0,65,0,0,1,0
batch_survivors,0.015,0.3,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.3,8.0,2363,575,1788,0,542,25,0,56,0,56,0,0,1,0
batch_survivors,0.015,0.3,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.3,10.0,2363,575,1788,0,542,25,0,37,0,37,0,0,1,0
batch_survivors,0.015,0.3,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.3,12.0,2363,575,1788,0,542,25,0,24,0,24,0,0,1,0
batch_survivors,0.015,0.3,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.3,14.0,2363,575,1788,0,542,25,0,15,0,15,0,0,1,0
batch_survivors,0.015,0.3,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.3,16.0,2363,575,1788,0,542,25,0,5,0,5,0,0,0,0
batch_survivors,0.015,0.35,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.35,2.0,2363,575,1788,0,542,25,0,79,0,79,0,0,1,0
batch_survivors,0.015,0.35,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.35,4.0,2363,575,1788,0,542,25,0,66,0,66,0,0,1,0
batch_survivors,0.015,0.35,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.35,6.0,2363,575,1788,0,542,25,0,51,0,51,0,0,1,0
batch_survivors,0.015,0.35,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.35,8.0,2363,575,1788,0,542,25,0,47,0,47,0,0,1,0
batch_survivors,0.015,0.35,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.35,10.0,2363,575,1788,0,542,25,0,33,0,33,0,0,1,0
batch_survivors,0.015,0.35,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.35,12.0,2363,575,1788,0,542,25,0,22,0,22,0,0,1,0
batch_survivors,0.015,0.35,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.015,0.35,14.0,2363,575,1788,0,542,25,0,13,0,13,0,0,1,0
batch_survivors,0.015,0.35,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.35,16.0,2363,575,1788,0,542,25,0,5,0,5,0,0,0,0
batch_survivors,0.015,0.4,2.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.4,2.0,2363,575,1788,0,542,25,0,60,0,60,0,0,1,0
batch_survivors,0.015,0.4,4.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.4,4.0,2363,575,1788,0,542,25,0,48,0,48,0,0,1,0
batch_survivors,0.015,0.4,6.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.4,6.0,2363,575,1788,0,542,25,0,38,0,38,0,0,1,0
batch_survivors,0.015,0.4,8.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.4,8.0,2363,575,1788,0,542,25,0,35,0,35,0,0,1,0
batch_survivors,0.015,0.4,10.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.4,10.0,2363,575,1788,0,542,25,0,25,0,25,0,0,1,0
batch_survivors,0.015,0.4,12.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.4,12.0,2363,575,1788,0,542,25,0,17,0,17,0,0,1,0
batch_survivors,0.015,0.4,14.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.4,14.0,2363,575,1788,0,542,25,0,10,0,10,0,0,1,0
batch_survivors,0.015,0.4,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.015,0.4,16.0,2363,575,1788,0,542,25,0,4,0,4,0,0,0,0
batch_survivors,0.02,0.05,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.05,2.0,2363,575,1788,0,542,25,0,281,0,281,0,0,1,0
batch_survivors,0.02,0.05,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.05,4.0,2363,575,1788,0,542,25,0,242,0,242,0,0,1,0
batch_survivors,0.02,0.05,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.05,6.0,2363,575,1788,0,542,25,0,192,0,192,0,0,1,0
batch_survivors,0.02,0.05,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.05,8.0,2363,575,1788,0,542,25,0,147,0,147,0,0,1,0
batch_survivors,0.02,0.05,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.05,10.0,2363,575,1788,0,542,25,0,96,0,96,0,0,1,0
batch_survivors,0.02,0.05,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.05,12.0,2363,575,1788,0,542,25,0,62,0,62,0,0,1,0
batch_survivors,0.02,0.05,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.05,14.0,2363,575,1788,0,542,25,0,41,0,41,0,0,1,0
batch_survivors,0.02,0.05,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.05,16.0,2363,575,1788,0,542,25,0,24,0,24,0,0,0,0
batch_survivors,0.02,0.1,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.1,2.0,2363,575,1788,0,542,25,0,215,0,215,0,0,1,0
batch_survivors,0.02,0.1,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.1,4.0,2363,575,1788,0,542,25,0,183,0,183,0,0,1,0
batch_survivors,0.02,0.1,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.1,6.0,2363,575,1788,0,542,25,0,147,0,147,0,0,1,0
batch_survivors,0.02,0.1,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.1,8.0,2363,575,1788,0,542,25,0,112,0,112,0,0,1,0
batch_survivors,0.02,0.1,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.1,10.0,2363,575,1788,0,542,25,0,70,0,70,0,0,1,0
batch_survivors,0.02,0.1,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.1,12.0,2363,575,1788,0,542,25,0,44,0,44,0,0,1,0
batch_survivors,0.02,0.1,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.1,14.0,2363,575,1788,0,542,25,0,30,0,30,0,0,1,0
batch_survivors,0.02,0.1,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.1,16.0,2363,575,1788,0,542,25,0,15,0,15,0,0,0,0
batch_survivors,0.02,0.15,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.15,2.0,2363,575,1788,0,542,25,0,187,0,187,0,0,1,0
batch_survivors,0.02,0.15,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.15,4.0,2363,575,1788,0,542,25,0,159,0,159,0,0,1,0
batch_survivors,0.02,0.15,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.15,6.0,2363,575,1788,0,542,25,0,126,0,126,0,0,1,0
batch_survivors,0.02,0.15,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.15,8.0,2363,575,1788,0,542,25,0,98,0,98,0,0,1,0
batch_survivors,0.02,0.15,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.15,10.0,2363,575,1788,0,542,25,0,60,0,60,0,0,1,0
batch_survivors,0.02,0.15,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.15,12.0,2363,575,1788,0,542,25,0,37,0,37,0,0,1,0
batch_survivors,0.02,0.15,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.15,14.0,2363,575,1788,0,542,25,0,26,0,26,0,0,1,0
batch_survivors,0.02,0.15,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.15,16.0,2363,575,1788,0,542,25,0,14,0,14,0,0,0,0
batch_survivors,0.02,0.2,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.2,2.0,2363,575,1788,0,542,25,0,151,0,151,0,0,1,0
batch_survivors,0.02,0.2,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.2,4.0,2363,575,1788,0,542,25,0,128,0,128,0,0,1,0
batch_survivors,0.02,0.2,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.2,6.0,2363,575,1788,0,542,25,0,101,0,101,0,0,1,0
batch_survivors,0.02,0.2,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.2,8.0,2363,575,1788,0,542,25,0,81,0,81,0,0,1,0
batch_survivors,0.02,0.2,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.2,10.0,2363,575,1788,0,542,25,0,51,0,51,0,0,1,0
batch_survivors,0.02,0.2,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.2,12.0,2363,575,1788,0,542,25,0,33,0,33,0,0,1,0
batch_survivors,0.02,0.2,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.2,14.0,2363,575,1788,0,542,25,0,22,0,22,0,0,1,0
batch_survivors,0.02,0.2,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.2,16.0,2363,575,1788,0,542,25,0,12,0,12,0,0,0,0
batch_survivors,0.02,0.25,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.25,2.0,2363,575,1788,0,542,25,0,112,0,112,0,0,1,0
batch_survivors,0.02,0.25,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.25,4.0,2363,575,1788,0,542,25,0,93,0,93,0,0,1,0
batch_survivors,0.02,0.25,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.25,6.0,2363,575,1788,0,542,25,0,74,0,74,0,0,1,0
batch_survivors,0.02,0.25,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.25,8.0,2363,575,1788,0,542,25,0,63,0,63,0,0,1,0
batch_survivors,0.02,0.25,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.25,10.0,2363,575,1788,0,542,25,0,41,0,41,0,0,1,0
batch_survivors,0.02,0.25,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.25,12.0,2363,575,1788,0,542,25,0,25,0,25,0,0,1,0
batch_survivors,0.02,0.25,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.25,14.0,2363,575,1788,0,542,25,0,16,0,16,0,0,1,0
batch_survivors,0.02,0.25,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.25,16.0,2363,575,1788,0,542,25,0,7,0,7,0,0,0,0
batch_survivors,0.02,0.3,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.3,2.0,2363,575,1788,0,542,25,0,88,0,88,0,0,1,0
batch_survivors,0.02,0.3,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.3,4.0,2363,575,1788,0,542,25,0,75,0,75,0,0,1,0
batch_survivors,0.02,0.3,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.3,6.0,2363,575,1788,0,542,25,0,59,0,59,0,0,1,0
batch_survivors,0.02,0.3,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.3,8.0,2363,575,1788,0,542,25,0,52,0,52,0,0,1,0
batch_survivors,0.02,0.3,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.3,10.0,2363,575,1788,0,542,25,0,34,0,34,0,0,1,0
batch_survivors,0.02,0.3,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.3,12.0,2363,575,1788,0,542,25,0,21,0,21,0,0,1,0
batch_survivors,0.02,0.3,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.3,14.0,2363,575,1788,0,542,25,0,12,0,12,0,0,1,0
batch_survivors,0.02,0.3,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.3,16.0,2363,575,1788,0,542,25,0,4,0,4,0,0,0,0
batch_survivors,0.02,0.35,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.35,2.0,2363,575,1788,0,542,25,0,71,0,71,0,0,1,0
batch_survivors,0.02,0.35,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.35,4.0,2363,575,1788,0,542,25,0,59,0,59,0,0,1,0
batch_survivors,0.02,0.35,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.35,6.0,2363,575,1788,0,542,25,0,46,0,46,0,0,1,0
batch_survivors,0.02,0.35,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.35,8.0,2363,575,1788,0,542,25,0,43,0,43,0,0,1,0
batch_survivors,0.02,0.35,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.35,10.0,2363,575,1788,0,542,25,0,30,0,30,0,0,1,0
batch_survivors,0.02,0.35,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.35,12.0,2363,575,1788,0,542,25,0,19,0,19,0,0,1,0
batch_survivors,0.02,0.35,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.02,0.35,14.0,2363,575,1788,0,542,25,0,10,0,10,0,0,1,0
batch_survivors,0.02,0.35,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.35,16.0,2363,575,1788,0,542,25,0,4,0,4,0,0,0,0
batch_survivors,0.02,0.4,2.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.4,2.0,2363,575,1788,0,542,25,0,54,0,54,0,0,1,0
batch_survivors,0.02,0.4,4.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.4,4.0,2363,575,1788,0,542,25,0,43,0,43,0,0,1,0
batch_survivors,0.02,0.4,6.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.4,6.0,2363,575,1788,0,542,25,0,34,0,34,0,0,1,0
batch_survivors,0.02,0.4,8.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.4,8.0,2363,575,1788,0,542,25,0,31,0,31,0,0,1,0
batch_survivors,0.02,0.4,10.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.4,10.0,2363,575,1788,0,542,25,0,22,0,22,0,0,1,0
batch_survivors,0.02,0.4,12.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.4,12.0,2363,575,1788,0,542,25,0,14,0,14,0,0,1,0
batch_survivors,0.02,0.4,14.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.4,14.0,2363,575,1788,0,542,25,0,7,0,7,0,0,1,0
batch_survivors,0.02,0.4,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.02,0.4,16.0,2363,575,1788,0,542,25,0,3,0,3,0,0,0,0
batch_survivors,0.025,0.05,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.05,2.0,2363,575,1788,0,542,25,0,259,0,259,0,0,0,0
batch_survivors,0.025,0.05,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.05,4.0,2363,575,1788,0,542,25,0,227,0,227,0,0,0,0
batch_survivors,0.025,0.05,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.05,6.0,2363,575,1788,0,542,25,0,180,0,180,0,0,0,0
batch_survivors,0.025,0.05,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.05,8.0,2363,575,1788,0,542,25,0,139,0,139,0,0,0,0
batch_survivors,0.025,0.05,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.05,10.0,2363,575,1788,0,542,25,0,90,0,90,0,0,0,0
batch_survivors,0.025,0.05,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.05,12.0,2363,575,1788,0,542,25,0,57,0,57,0,0,0,0
batch_survivors,0.025,0.05,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.05,14.0,2363,575,1788,0,542,25,0,38,0,38,0,0,0,0
batch_survivors,0.025,0.05,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.025,0.05,16.0,2363,575,1788,0,542,25,0,22,0,22,0,0,0,0
batch_survivors,0.025,0.1,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.1,2.0,2363,575,1788,0,542,25,0,202,0,202,0,0,0,0
batch_survivors,0.025,0.1,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.1,4.0,2363,575,1788,0,542,25,0,177,0,177,0,0,0,0
batch_survivors,0.025,0.1,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.1,6.0,2363,575,1788,0,542,25,0,141,0,141,0,0,0,0
batch_survivors,0.025,0.1,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.1,8.0,2363,575,1788,0,542,25,0,110,0,110,0,0,0,0
batch_survivors,0.025,0.1,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.1,10.0,2363,575,1788,0,542,25,0,69,0,69,0,0,0,0
batch_survivors,0.025,0.1,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.1,12.0,2363,575,1788,0,542,25,0,43,0,43,0,0,0,0
batch_survivors,0.025,0.1,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.1,14.0,2363,575,1788,0,542,25,0,29,0,29,0,0,0,0
batch_survivors,0.025,0.1,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.025,0.1,16.0,2363,575,1788,0,542,25,0,15,0,15,0,0,0,0
batch_survivors,0.025,0.15,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.15,2.0,2363,575,1788,0,542,25,0,176,0,176,0,0,0,0
batch_survivors,0.025,0.15,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.15,4.0,2363,575,1788,0,542,25,0,153,0,153,0,0,0,0
batch_survivors,0.025,0.15,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.15,6.0,2363,575,1788,0,542,25,0,120,0,120,0,0,0,0
batch_survivors,0.025,0.15,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.15,8.0,2363,575,1788,0,542,25,0,96,0,96,0,0,0,0
batch_survivors,0.025,0.15,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.15,10.0,2363,575,1788,0,542,25,0,59,0,59,0,0,0,0
batch_survivors,0.025,0.15,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.15,12.0,2363,575,1788,0,542,25,0,36,0,36,0,0,0,0
batch_survivors,0.025,0.15,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.15,14.0,2363,575,1788,0,542,25,0,25,0,25,0,0,0,0
batch_survivors,0.025,0.15,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.025,0.15,16.0,2363,575,1788,0,542,25,0,14,0,14,0,0,0,0
batch_survivors,0.025,0.2,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.2,2.0,2363,575,1788,0,542,25,0,141,0,141,0,0,0,0
batch_survivors,0.025,0.2,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.2,4.0,2363,575,1788,0,542,25,0,123,0,123,0,0,0,0
batch_survivors,0.025,0.2,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.2,6.0,2363,575,1788,0,542,25,0,96,0,96,0,0,0,0
batch_survivors,0.025,0.2,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.2,8.0,2363,575,1788,0,542,25,0,79,0,79,0,0,0,0
batch_survivors,0.025,0.2,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.2,10.0,2363,575,1788,0,542,25,0,50,0,50,0,0,0,0
batch_survivors,0.025,0.2,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.2,12.0,2363,575,1788,0,542,25,0,32,0,32,0,0,0,0
batch_survivors,0.025,0.2,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.2,14.0,2363,575,1788,0,542,25,0,21,0,21,0,0,0,0
batch_survivors,0.025,0.2,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.025,0.2,16.0,2363,575,1788,0,542,25,0,12,0,12,0,0,0,0
batch_survivors,0.025,0.25,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.25,2.0,2363,575,1788,0,542,25,0,104,0,104,0,0,0,0
batch_survivors,0.025,0.25,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.25,4.0,2363,575,1788,0,542,25,0,89,0,89,0,0,0,0
batch_survivors,0.025,0.25,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.25,6.0,2363,575,1788,0,542,25,0,70,0,70,0,0,0,0
batch_survivors,0.025,0.25,8.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.25,8.0,2363,575,1788,0,542,25,0,61,0,61,0,0,0,0
batch_survivors,0.025,0.25,10.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.25,10.0,2363,575,1788,0,542,25,0,40,0,40,0,0,0,0
batch_survivors,0.025,0.25,12.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.25,12.0,2363,575,1788,0,542,25,0,24,0,24,0,0,0,0
batch_survivors,0.025,0.25,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.25,14.0,2363,575,1788,0,542,25,0,15,0,15,0,0,0,0
batch_survivors,0.025,0.25,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.025,0.25,16.0,2363,575,1788,0,542,25,0,7,0,7,0,0,0,0
batch_survivors,0.025,0.3,2.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.3,2.0,2363,575,1788,0,542,25,0,81,0,81,0,0,0,0
batch_survivors,0.025,0.3,4.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.025,0.3,4.0,2363,575,1788,0,542,25,0,72,0,72,0,0,0,0
batch_survivors,0.025,0.3,6.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
