mode_key,path,input_fingerprint,previous_decision,previous_reason,current_status
nstxuG142301C50/N1/egn01w.1522E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1522E+03,7297263118473b0c3eeadb5e53d6c31e8ff46a941ced0e746d8761200d8776f2,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1537E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1537E+03,64df9198ac7b4541a1924a6c3b41ba89794e83a9596040efac82b3e7f8bf70e4,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1539E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1539E+03,59b6fabc90e13a9d79100985ecc4c971616e452d3978b659a260d5a10b412c37,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1545E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1545E+03,8888e8f75c64100a16b9dcdf0aeafac6eebfc6e79ac1aa6de67697cd378a9586,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1548E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1548E+03,3550feccf42be4524ed8d995feb5446f3cb3dfafed2130c880f8c0c641afa7e6,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1549E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1549E+03,f1e2746c97328e38a2c2a6b3997d121b0445cb85434658358f257ed75667eced,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1550E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1550E+03,af2ef2f7398e13fbd0bf94f4996e37040d3ffc320d7c04255c2872fc01c34929,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1552E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1552E+03,09b47db3b55cb0e4df14cd492e05c08b9aa63df8ec84717634d8d0cd0d51be78,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1554E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1554E+03,889c871510ec6c84ef74e39582e4bd6544ce0858374aac3689b7459a267abbe9,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1558E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1558E+03,232529fe7348f96ec04a176f3bc9dcb3e7a574320b7ad3977bb7c6fb651b98cf,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1564E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1564E+03,922228583fbf0f03a105f2d277507e5b8391626abd0f81e6be50f9d051b111db,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1571E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1571E+03,7447f6c5543b80544de9e299dd6d615a0b71151182a78e3149179fca30c73715,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1577E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1577E+03,a4a7dabf668a2030138ccbd502e6c8507502a1248efe418fbeccfd36e896ab31,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1587E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1587E+03,5c8c8ea2f713ab988868146b35b529eec5f92f1b961b5312205ed4b462440f1f,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1595E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1595E+03,a9eb1121a02f4144cbb35c882a7a096a9b080bd815ff593df61f73d2d737bc65,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1598E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1598E+03,8304b9ee186c6d7c8a6dff33fd680f4a56d20233311da20e87a561411070658c,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1599E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1599E+03,cf3d3cb6ecefd339561360c9ba6d3d9c0add0dfc19f7293bf453f1beb8b2891b,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1602E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1602E+03,70b1bcca4b20ac330822cf62997ffea76edf2d01df7427e603626df8554230d1,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1606E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1606E+03,fd588238fcad93c0810401fa792bcd53def8337bdc5ac0046e74124a6fe34300,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1607E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1607E+03,ebdf1a9aa57722f2231ca92fa54740b9e8850866a81f8c99a9272475a56e3f81,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1615E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1615E+03,33500fb0f4724d2f1edc7b1aa88dfd625f8ebc060393b79a6f20fb48b42046d7,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.1616E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.1616E+03,092fcca817f10736a8930b7ea1fe6bcc5924e7717cb17e8ba77f49594b76cc6e,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2191E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2191E+03,e826ea5e7256fd682684de64bc84eec6c2391e4fdabe1a2135cacfc1ad2f7d2f,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2192E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2192E+03,f8db4a639d0fb215e63b92cf7c0e06dd9811e8acedcacdc13d641975b66c5f5f,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2193E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2193E+03,19fbd0035b260aeaba50a734196146b05a18db9acdc94ee1f48aab2138544a94,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2196E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2196E+03,f3d805d25505027c20cfefdf0ce460edcf4d00cb3fe9b8ee0a2d39db160d8747,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2201E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2201E+03,22025bdb8351a8ca5a883611fa2bba86d533e06ee9f0a5cdc82da87e314b616f,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2207E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2207E+03,32979134ec8d6c14f67add4df1b89f26350b19f71eb85cb92993e835a82e5583,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2209E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2209E+03,4aadd17741153c3550367c0d9f031ef26cec7b55cff748a7b79c131597a4a49d,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2211E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2211E+03,1360449376d14a43711fb74a74f45c217c2c50ed0dd947e8b071c3928050f478,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
nstxuG142301C50/N1/egn01w.2213E+03,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301C50/N1/egn01w.2213E+03,1e7d8aba3940cdab7039272a53c46d73dbd381047507eb32c74a2db5dfba52cd,INVALID,KNOWN_INVALID_INPUT,ABSENT_RAW_INPUT
