cohort,mode_key,path,training_label,baseline_decision,input_fingerprint,region_id,side,hf_out_top2_ratio,hf_out_total_fraction,hf_out_local_fraction,hf_out_radial_extent,hf_out_harmonic_extent
training,nstxuE204669M03t025/N10/egn10w.1295E+02,/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N10/egn10w.1295E+02,bad,GOOD,f1d09a00e421ac89348335ccdcf35c9037e98bb511a3e97758006c1468709934,0,above_upper,0.021040709007894284,0.003892281363120612,0.9602083064793127,14.371446417701161,2.3926874667763185
batch_survivors,nstxuE204186A01t020/N10/egn10w.1271E+02,/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204186A01t020/N10/egn10w.1271E+02,,GOOD,65b9f2f0d8ee0c5ec666be39bb648b85b43c6052b8a1f5b8fa2200a93756407d,0,above_upper,0.028755287241603606,0.005492534817460073,0.35310780353482535,14.896808355767655,3.1565054880660366
