cohort,mode_key,input_fingerprint,label_or_decision,fraction_below_upper2,signed_delta,old_route,candidate_route
regression15,nstxuE204707A04t030/N1/egn01w.1592E+02,1fbbeabece8bcdd0c32549712c38ba638bf35bbb9a5757ace71944eae7ffb66d,BAD,0.15900122593403007,0.2926753877126564,mixed,eae_like
regression15,nstxuE204707A04t030/N1/egn01w.1595E+02,d6789d059a73e1870be4abcf1b1b2ca12e7a330fc14cd46e55a310786c6d774d,BAD,0.17813133518629848,0.3180013821315139,mixed,eae_like
regression15,nstxuE204707A04t030/N1/egn01w.1644E+02,16874c8c392ee456805590e47256af80283c5b8ac853df336d40d76884c73c35,BAD,0.1261171123624332,0.1734231814353133,mixed,eae_like
regression15,nstxuE204707A04t030/N1/egn01w.1650E+02,1ef6db0d77ab4eca21d98317e7507d7afd42fefbb5d8e2eac9a522eb81b96298,BAD,0.13720837048830697,0.18011285303302926,mixed,eae_like
regression15,nstxuE205045A01t022/N1/egn01w.2628E+02,948f9078a3eec06b16382e74458e0792e9446c75feaa1f6324b6afdaaf3b1f23,BAD,0.19913767581302214,-0.07619801628137496,mixed,eae_like
regression15,nstxuE205045A01t022/N2/egn02w.8800E+01,edadadb4b505088336fb7c3d9c0cff0a8967b2a079aa7c2efb81f75699118225,BAD,0.10080529710140565,0.08062224228707758,mixed,eae_like
regression15,nstxuE205045A01t022/N3/egn03w.8222E+01,3c4f5e29f604e92cd44c6b73f5e677f54879bebdb43600267e2b80861161e8b8,BAD,0.044280995521010884,0.07269731121824702,mixed,eae_like
regression15,nstxuE205045A01t022/N3/egn03w.1027E+02,d335e9dfc6d100428b09510a29071e9cc5a066e30cd0d64b9907bfb20612e386,BAD,0.06364376697359507,-0.0685155844224068,mixed,eae_like
regression15,nstxuE205045A01t022/N6/egn06w.1556E+02,79159893e60dfc50f5049c4ebcac3710028fb3ade1ca589f4e6e4cc1a93fa15d,BAD,0.11539332269342784,-0.09311728650489431,mixed,eae_like
regression15,nstxuE205045A01t022/N8/egn08w.7714E+01,cf34b9fa2ed9bda032f9591845b36f01d69c090698e3e4050636bceced819139,BAD,0.03796700797729,-0.0062959604840088805,mixed,eae_like
regression15,nstxuE205045A01t022/N8/egn08w.7908E+01,986afb286e7052194fbca4f7b9d5e33476e2f0e90305b5c543eb37fc50f6de02,BAD,0.031538390279476955,0.03902034427091272,mixed,eae_like
regression15,nstxuE205045A01t022/N9/egn09w.8243E+01,93fb1a8371601a0244f69af42c598715ce725ab7357cebf6cc9d239647b5616e,BAD,0.0672180274569321,0.09831262272007911,mixed,eae_like
regression15,nstxuE205045A01t022/N9/egn09w.8586E+01,43d166f2a2668369e9ccd80129fbca7ff6ad1eaa644b4a6c0749de8ff1e243de,BAD,0.10881673624648679,0.13136627295490888,mixed,eae_like
regression15,nstxuE205045A01t022/N9/egn09w.8664E+01,08ab667dacba60fa7764e6572b773b457a1844763a09ebc434e83e0ffdc4697c,BAD,0.0489349565208073,-0.03762397122191841,mixed,eae_like
regression15,nstxuE205054A01t037/N4/egn04w.2513E+02,6b168f267867b4d0b4408a969d1ce0260dc7e71003917de1f11a3d0585a6cd0c,BAD,0.007484918340872699,-0.039647514077534834,mixed,eae_like
regression15,nstxuE205054A01t037/N5/egn05w.5697E+02,2b6d3e83ffd4007a5c003d31f739d1281b0f9732b99c4cf59ff3aa59184786dc,BAD,0.17576920490186848,0.2277802852760064,mixed,eae_like
regression15,nstxuE205054A01t037/N5/egn05w.5701E+02,e2a9df14ff04b73ea6f85373955271928536d60321f32e3d9139efb905a157ab,BAD,0.15152137521826767,0.21217208231803364,mixed,eae_like
regression15,nstxuE205054A01t037/N5/egn05w.5737E+02,0181289982b51e9256147d6d0bb783f6c8a0ef413094bb88e8e6e18a6b50a31e,BAD,0.13507044304870933,0.15280588052699942,mixed,eae_like
regression15,nstxuE205054A01t037/N5/egn05w.5748E+02,9bb72f5e678eba52a21751a3aebaa0acef5c7c2220ff1025569035c0c1d46623,BAD,0.07621851922185388,0.05576164719564406,mixed,eae_like
regression15,nstxuE205054A01t037/N7/egn07w.6092E+02,93445cfef905b51969b2e457c043ba51093fd1e3c090e16ba0b46b1f338ae5c3,BAD,0.18229860475090948,0.09121952092802699,mixed,eae_like
regression15,nstxuE205054A01t037/N10/egn10w.5200E+02,b89cedfed89e903c36847c4c3ef4955f7c350e8bcf163f1a9cf1c291ae38102d,BAD,0.16797500428601564,0.2408295543150189,mixed,eae_like
regression15,nstxuE205054A01t037/N10/egn10w.5217E+02,65332224877827958f8e8f5a8610dc60966feddd84198f1d4686db461f503b20,BAD,0.11679829998608324,0.01941433263712821,mixed,eae_like
