model,n_folds,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
cnn,10,2125,1405,71,140,509,0.9007058823529411,0.8775862068965518,0.7842835130970724,0.8283157038242474
combined_policy,10,2125,1423,53,96,553,0.9298823529411765,0.9125412541254125,0.8520801232665639,0.8812749003984065
rf,10,2125,1426,50,99,550,0.9298823529411765,0.9166666666666666,0.847457627118644,0.8807045636509208
