model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,174,126,2,2,44,0.9770114942528736,0.9565217391304348,0.9565217391304348,0.9565217391304348
cnn,174,126,2,1,45,0.9827586206896551,0.9574468085106383,0.9782608695652174,0.967741935483871
combined_policy,174,126,2,2,44,0.9770114942528736,0.9565217391304348,0.9565217391304348,0.9565217391304348
