model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,174,155,13,1,5,0.9195402298850575,0.2777777777777778,0.8333333333333334,0.4166666666666667
cnn,174,147,21,0,6,0.8793103448275862,0.2222222222222222,1.0,0.3636363636363636
combined_policy,174,154,14,0,6,0.9195402298850575,0.3,1.0,0.4615384615384615
