model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,380,188,7,19,166,0.9315789473684211,0.9595375722543352,0.8972972972972973,0.9273743016759777
cnn,380,185,10,6,179,0.9578947368421052,0.9470899470899471,0.9675675675675676,0.9572192513368984
combined_policy,380,186,9,16,169,0.9342105263157895,0.949438202247191,0.9135135135135135,0.931129476584022
