path,mode_key,shot,n,omega,gap_region,signed_delta,fraction_below_upper2,input_fingerprint,disagreement_type,rules_final_decision,rule_decision,rule_primary_reason,rule_triggered_rules,rule_survivor_policy,rule_survivor_accepted,rules_selected_final,rf_cnn_final_label,rf_cnn_tier,p_rf_good,p_cnn_good,p_avg,rf_cnn_model_disagreement,rf_cnn_near_threshold,rf_cnn_large_score_gap,rf_cnn_selected_final,training_validity,label_supported_method
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301H47/N8/egn08w.1433E+02,nstxuG142301H47/N8/egn08w.1433E+02,nstxuG142301H47,8,3.7850955054261664,tae_like,0.7323569945206446,0.9429821742132661,438cc91b8341965a315f4cbc65a6c1cedd8eb4409c489aa605b61a2405d94dca,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,gold_good,0.9033333333333333,1.0,0.9516666666666667,False,False,False,True,good,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301H47/N9/egn09w.1415E+02,nstxuG142301H47/N9/egn09w.1415E+02,nstxuG142301H47,9,3.7611136029824297,tae_like,0.7435347070063268,0.9385785273544934,ea6bfec04e10ada76494313337bb46afb5fe1a97f0b90cd7d74da4bec30f7c49,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,gold_good,0.9166666666666666,1.0,0.9583333333333333,False,False,False,True,good,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301H47/N10/egn10w.1342E+02,nstxuG142301H47/N10/egn10w.1342E+02,nstxuG142301H47,10,3.66385497322187,tae_like,0.9973968281240562,0.9999840635021269,dc47daa2564b50d5c799803948d2f5012c6b5f850508c7e79957e10c12fb9c26,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,silver_bad,0.24666666666666667,1.242982605731413e-08,0.12333333954824637,False,False,False,,bad,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301H47/N10/egn10w.1403E+02,nstxuG142301H47/N10/egn10w.1403E+02,nstxuG142301H47,10,3.745962052971523,tae_like,0.7701099157937911,0.9486868833218826,bab1c00b638e0c0967f54035d2d414f74417ea488fa72241e093269b583a8a0c,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,gold_good,0.9166666666666666,0.999996542930603,0.9583316047986348,False,False,False,True,good,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301W29/N5/egn05w.2505E+02,nstxuG142301W29/N5/egn05w.2505E+02,nstxuG142301W29,5,5.0053687254090145,tae_like,0.9361963728863094,0.9987495315869767,63cf4d36604c0b7c961849e64237d27b9f4a95a0bb3a08140ba9426ca9bd443e,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",accept-as-good-v1,False,,good,gold_good,0.91,0.9999974966049194,0.9549987483024598,False,False,False,True,good,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301W29/N7/egn07w.2103E+02,nstxuG142301W29/N7/egn07w.2103E+02,nstxuG142301W29,7,4.585715651295826,tae_like,0.9932314688942124,0.9999940108838108,9944cb08e42ae2f58f73ce8f2a7d997aad1d176292551a6f5564a39870798fe3,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_GRID_SCALE_PACKET,"[""BAD_GRID_SCALE_PACKET""]",accept-as-good-v1,False,,good,gold_good,0.8766666666666667,1.0,0.9383333333333334,False,False,False,True,good,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301W29/N8/egn08w.2304E+02,nstxuG142301W29/N8/egn08w.2304E+02,nstxuG142301W29,8,4.800390073754152,tae_like,0.9947839023249126,0.9999785951242862,9b2cf0fa4f585f519aa3992fb323d2c56caeec78578b1f3acf9f37c95c1a6c8b,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,gold_bad,0.19333333333333333,1.140985833362938e-31,0.09666666666666666,False,False,False,,bad,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301W29/N10/egn10w.1779E+02,nstxuG142301W29/N10/egn10w.1779E+02,nstxuG142301W29,10,4.217989088299444,tae_like,0.8559477048212517,0.9017932595198184,3814aa75da4b28601a250485e03fca28d2cf616646fff073d9b809c2e86097ac,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,gold_bad,0.0033333333333333335,0.0,0.0016666666666666668,False,False,False,,bad,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301Y93/N3/egn03w.8350E+01,nstxuG142301Y93/N3/egn03w.8350E+01,nstxuG142301Y93,3,2.8896522189609684,tae_like,0.9805984140155685,0.9943753960445385,ca23db9bc5c287025d3f4f3d7c09a1dc3440c0eac21ed5b1b5a6d34355581cd1,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,gold_bad,0.03666666666666667,6.765048041807159e-31,0.018333333333333333,False,False,False,,bad,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301Y93/N8/egn08w.9431E+01,nstxuG142301Y93/N8/egn08w.9431E+01,nstxuG142301Y93,8,3.0709833998152423,tae_like,0.997303892829737,0.9999951105255741,f0f8e7ee9f01c3ee1fffa7d972476adb4cf292c5802cb86d91fa89f9939f03cf,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,gold_bad,0.17333333333333334,0.0,0.08666666666666667,False,False,False,,bad,rf-cnn
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301Y93/N9/egn09w.1539E+02,nstxuG142301Y93/N9/egn09w.1539E+02,nstxuG142301Y93,9,3.923128665741225,tae_like,0.8917958307119367,0.9885245082154261,505a98f1ae3caa9954a29eb47ec3a66ca39a9c3198b339728ab2701bc72b7f48,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,gold_good,0.8866666666666667,1.0,0.9433333333333334,False,False,False,True,good,rf-cnn
