path,mode_key,shot,n,omega,gap_region,signed_delta,fraction_below_upper2,input_fingerprint,disagreement_type,rules_final_decision,rule_decision,rule_primary_reason,rule_triggered_rules,rule_survivor_policy,rule_survivor_accepted,rules_selected_final,rf_cnn_final_label,rf_cnn_tier,p_rf_good,p_cnn_good,p_avg,rf_cnn_model_disagreement,rf_cnn_near_threshold,rf_cnn_large_score_gap,rf_cnn_selected_final
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205054A01t037/N3/egn03w.1389E+02,nstxuE205054A01t037/N3/egn03w.1389E+02,nstxuE205054A01t037,3,3.726779119683361,tae_like,0.9586751860114043,1.0,f9ed7630e2b088cddba34399032246ff987d1cacefd931b0aeb24b2cbdb886eb,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",accept-as-good-v1,False,,good,gold_good,0.8933333333333333,1.0,0.9466666666666667,False,False,False,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205054A01t037/N3/egn03w.2785E+02,nstxuE205054A01t037/N3/egn03w.2785E+02,nstxuE205054A01t037,3,5.277071299187699,tae_like,0.9848312414074113,0.9995934533248838,a63d49c189363d81346a9c3919f37ef2bf15e8891cd5d23a8886d1b99322fc16,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",accept-as-good-v1,False,,good,silver_good,0.6,1.0,0.8,False,True,False,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204954A01t022/N2/egn02w.7512E+01,nstxuE204954A01t022/N2/egn02w.7512E+01,nstxuE204954A01t022,2,2.74077352865242,tae_like,0.969927968676567,1.0,aa49c543a9849757d3caee0eef44e6cda2039d1a56e83f583f1d781244f94665,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.51,8.258787431714154e-09,0.2550000041293937,True,True,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N2/egn02w.4449E+01,nstxuE203963A01t025/N2/egn02w.4449E+01,nstxuE203963A01t025,2,2.109179754609191,tae_like,0.8120775141432981,1.0,beb3fa0709eae4dd8b0ca6d15f3f519059386c343564f5e06df0aea42f5eaf45,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",accept-as-good-v1,False,,good,gold_good,0.8366666666666667,0.9999992847442627,0.9183329757054647,False,False,False,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N5/egn05w.4440E+01,nstxuE203963A01t025/N5/egn05w.4440E+01,nstxuE203963A01t025,5,2.107159228532919,tae_like,0.8407415252765015,1.0,8a092a52cdb54d567530170bf3ed1745d8df924b32fbe16c71d24286a8aaef3d,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.53,1.5429671429423308e-13,0.2650000000000772,True,True,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N6/egn06w.4492E+01,nstxuE203963A01t025/N6/egn06w.4492E+01,nstxuE203963A01t025,6,2.1194444721381527,tae_like,0.8011583578061219,1.0,77f1a526c55d3a5d6bf280864a58ee5b4badda743853260affc27784f913108f,RULES_BAD_RF_CNN_GOOD,BAD,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",accept-as-good-v1,False,,good,flagged_rf_only_good,0.7766666666666666,0.029030265286564827,0.4028484659766157,True,False,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N6/egn06w.4648E+01,nstxuE203963A01t025/N6/egn06w.4648E+01,nstxuE203963A01t025,6,2.156014301095798,tae_like,0.8680852984483144,1.0,ea86a3f416307f5a87bbc6f31fe205386672b9178c1fe122ffbf4ec4db1b2caa,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,silver_bad,0.39666666666666667,9.769605640030932e-07,0.19833382181361534,False,False,False,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N6/egn06w.7633E+01,nstxuE203963A01t025/N6/egn06w.7633E+01,nstxuE203963A01t025,6,2.7627949763626094,tae_like,0.9700060141061598,0.9923941956193196,08887cd33b0c75b692af183a4796bb1e08a512ee6e3218a4b7abd5f335a44011,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.24333333333333335,0.9999998807907104,0.6216666070620219,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N7/egn07w.4312E+01,nstxuE203963A01t025/N7/egn07w.4312E+01,nstxuE203963A01t025,7,2.076584497774657,tae_like,0.8235516068220595,1.0,6d8a6dc4faa0c415b26ef3195a8ee7f05ffa37c87c5881a0f93ca890edf9f6b9,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,silver_bad,0.3933333333333333,2.2776830519433133e-05,0.19667805508192637,False,False,False,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N7/egn07w.7672E+01,nstxuE203963A01t025/N7/egn07w.7672E+01,nstxuE203963A01t025,7,2.7697532747746676,tae_like,0.9738450714620269,0.9884632435211052,5edc283ac6620fafe5b566a5b8854ff7ddccc8f52e6ce6c1cf00fcf7d598a120,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.21,0.9999992847442627,0.6049996423721313,True,False,True,
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203963A01t025/N8/egn08w.4541E+01,nstxuE203963A01t025/N8/egn08w.4541E+01,nstxuE203963A01t025,8,2.130965588659127,tae_like,0.7946143286915941,0.9991528019922398,3ea1cd5e73ff3a87defda23430d09445130b935f37ad8bffa139254a9a56480e,RULES_GOOD_RF_CNN_BAD,GOOD,REVIEW,NO_GOOD_TEMPLATE,"[""NO_GOOD_TEMPLATE""]",accept-as-good-v1,True,True,bad,flagged_borderline_or_disagreement,0.48333333333333334,0.0,0.24166666666666667,False,True,True,
