path,label,shot,ntor,omega,gap_region,final_decision,final_reason,automatic_final_decision,original_rule_decision,rule_primary_reason,decision_source,manual_decision,manual_reason,reviewer,adjudication_timestamp,selected_final,overall_rule_severity,input_fingerprint,mode_key,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good
nstxuE202806A02t025/N10/egn10w.5223E+01,good,nstxuE202806A02t025,10,2.285456254205026,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.3683468752196638,85449cbce8b30569d6d216bb2c0f732c1b9797401306f3daafd693395ba98bbe,nstxuE202806A02t025/N10/egn10w.5223E+01,BAD,BAD,BAD,0.4633333333333333,5.266993029307853e-25
nstxuE202806A02t025/N10/egn10w.7692E+01,bad,nstxuE202806A02t025,10,2.7734019410248236,tae_like,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,BAD_CONT_CROSS_WINDOW,rule_engine,,,,,,1.030004848680204,86bdc4280e651f111ccabe49392ceedf033de653e558f48f5b52cfe5bb40f998,nstxuE202806A02t025/N10/egn10w.7692E+01,GOOD,GOOD,BAD,0.6566666666666666,2.1976069547235966e-05
nstxuE202806A02t025/N10/egn10w.1319E+02,bad,nstxuE202806A02t025,10,3.6317081477899187,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,1.2771793072915165,a1e29210221f6a319e915c8c5f810954e1fe379d5d5461db9d8af87d925087bf,nstxuE202806A02t025/N10/egn10w.1319E+02,GOOD,GOOD,BAD,0.6733333333333333,0.0007661025738343596
nstxuE202926A03t025/N4/egn04w.1699E+02,good,nstxuE202926A03t025,4,4.122127563488432,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.7768592290958402,8980ab1455466f19b4013e6b450e8b176602fee8f9cbee9b0d6f99c08ecd2f9d,nstxuE202926A03t025/N4/egn04w.1699E+02,BAD,BAD,BAD,0.18666666666666668,0.0
nstxuE202926A03t025/N6/egn06w.3957E+01,bad,nstxuE202926A03t025,6,1.9891122097087692,tae_like,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,BAD_CONT_CROSS_WINDOW,rule_engine,,,,,,1.4779714654017613,3d89f9643baf380bb8f1da34b45e9e9bd2506523b3a5249fd123204b81a5353e,nstxuE202926A03t025/N6/egn06w.3957E+01,GOOD,GOOD,BAD,0.6566666666666666,2.7286550663228816e-19
nstxuE202926A03t025/N8/egn08w.6500E+01,bad,nstxuE202926A03t025,8,2.5494880847423893,tae_like,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,rule_engine,,,,,,1.022794224628811,b10bcfd99d34f1bf2f034fd99223892507cf3437b95bc5898ffdfbab56a6c895,nstxuE202926A03t025/N8/egn08w.6500E+01,GOOD,GOOD,GOOD,0.7466666666666667,1.0
nstxuE202944A02t021/N1/egn01w.6615E+01,bad,nstxuE202944A02t021,1,2.5718734012273594,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,1.1001448351311087,8163d74259b879be9a1157646bf58236fdf94c6e211911d19160b9d45fa8ed27,nstxuE202944A02t021/N1/egn01w.6615E+01,GOOD,GOOD,BAD,0.6933333333333334,6.630949656027951e-07
nstxuE202944A02t021/N2/egn02w.6793E+01,bad,nstxuE202944A02t021,2,2.606330953715596,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,1.0126034817669085,1c84d34928f3a2eba99de3fee4044c4b9020585dbfa834381a7688ba7197a999,nstxuE202944A02t021/N2/egn02w.6793E+01,GOOD,GOOD,GOOD,0.9133333333333333,0.99997878074646
nstxuE202944A02t021/N2/egn02w.7449E+01,bad,nstxuE202944A02t021,2,2.729319574781028,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,1.7176139599871478,2e35d680efcddc2315f5fc18617ac04de2d59c0a6cfd0919a133f64355903236,nstxuE202944A02t021/N2/egn02w.7449E+01,GOOD,GOOD,BAD,0.7733333333333333,0.0
nstxuE202944A02t021/N3/egn03w.7345E+01,bad,nstxuE202944A02t021,3,2.7101663310470054,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,2.1423304029615733,4752e0dbe5b693ffa9a78f6d873fa590b3e543a543c339e90c44616bd469812b,nstxuE202944A02t021/N3/egn03w.7345E+01,GOOD,GOOD,BAD,0.8133333333333334,9.804657435238692e-27
nstxuE202944A02t021/N6/egn06w.9025E+01,bad,nstxuE202944A02t021,6,3.0041462404560217,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,2.1001568464065974,24c6b27b949724b909f145154512ecb1488906d6f80116e22cda364250e41efa,nstxuE202944A02t021/N6/egn06w.9025E+01,GOOD,GOOD,GOOD,0.76,1.0
nstxuE202944A02t021/N7/egn07w.8198E+01,bad,nstxuE202944A02t021,7,2.86327387335698,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,1.5884282174724085,01ba36958ce6f1814145d176ee9954979d5274c5a57f8e00cb00a19c2977746f,nstxuE202944A02t021/N7/egn07w.8198E+01,GOOD,GOOD,BAD,0.9966666666666667,1.4823237852023413e-13
nstxuE202944A02t021/N8/egn08w.7759E+01,bad,nstxuE202944A02t021,8,2.785463525485338,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,3.212494355099128,debbb677ae6a37eb4e2443af90029bf3c6c7955113b4d496708aa815a7e11917,nstxuE202944A02t021/N8/egn08w.7759E+01,GOOD,GOOD,BAD,0.5833333333333334,2.3583885018961427e-23
nstxuE202944A02t021/N9/egn09w.7205E+01,bad,nstxuE202944A02t021,9,2.6841592033841515,tae_like,BAD,BAD_AXIS_SPIKE,BAD,BAD,BAD_AXIS_SPIKE,rule_engine,,,,,,2.340968803086214,2b70ee4181a863876e65fbfdfda96a2231ffebdda9a3827ade2049cc78ff1903,nstxuE202944A02t021/N9/egn09w.7205E+01,GOOD,GOOD,BAD,0.9333333333333333,7.764843979158933e-30
