path,boundary,crossing_r,singularity_r,offset_r,offset_grid,nr
nstxuE204669M03t025/N1/egn01w.1101E+02,high,0.24934742655891295,0.245,0.004347426558912959,0.8694853117825918,201
nstxuE204669M03t025/N1/egn01w.1131E+02,high,0.26389664732080303,0.26,0.003896647320803026,0.7793294641606052,201
nstxuE204669M03t025/N1/egn01w.1141E+02,high,0.26832554055224533,0.265,0.0033255405522453207,0.6651081104490641,201
nstxuE204669M03t025/N1/egn01w.1149E+02,high,0.27219484526808896,0.27,0.0021948452680889408,0.43896905361778815,201
nstxuE204669M03t025/N1/egn01w.1565E+02,high,0.4352155051818938,0.43,0.005215505181893787,1.0431010363787574,201
nstxuE204669M03t025/N1/egn01w.3425E+02,high,0.7036839849733283,0.7000000000000001,0.003683984973328225,0.736796994665645,201
nstxuE204669M03t025/N1/egn01w.3485E+02,high,0.7086553777015783,0.705,0.0036553777015783107,0.7310755403156621,201
nstxuE204669M03t025/N1/egn01w.4972E+01,low,0.3662263259772759,0.365,0.0012263259772758994,0.24526519545517989,201
nstxuE204669M03t025/N1/egn01w.5033E+01,low,0.3613160071059629,0.36,0.001316007105962913,0.2632014211925826,201
nstxuE204669M03t025/N1/egn01w.5092E+01,low,0.35652901727355907,0.355,0.0015290172735590857,0.30580345471181714,201
nstxuE204669M03t025/N1/egn01w.5285E+01,low,0.3409997908998329,0.34,0.0009997908998328753,0.19995817996657506,201
nstxuE204669M03t025/N1/egn01w.5346E+01,low,0.3360991473865301,0.335,0.0010991473865300527,0.21982947730601055,201
nstxuE204669M03t025/N1/egn01w.5407E+01,low,0.3311817027559865,0.33,0.0011817027559865023,0.23634055119730046,201
nstxuE204669M03t025/N1/egn01w.5468E+01,low,0.3262760813650014,0.325,0.0012760813650014025,0.2552162730002805,201
nstxuE204669M03t025/N1/egn01w.5528E+01,low,0.32140369065705326,0.32,0.0014036906570532581,0.2807381314106516,201
nstxuE204669M03t025/N1/egn01w.5586E+01,low,0.3165988339189209,0.315,0.0015988339189209055,0.3197667837841811,201
nstxuE204669M03t025/N1/egn01w.5643E+01,low,0.31191471141017957,0.31,0.0019147114101795704,0.38294228203591407,201
nstxuE204669M03t025/N1/egn01w.5698E+01,low,0.30741279808311245,0.305,0.002412798083112455,0.482559616622491,201
