issue_id,shot,n,relative_path,issue_type,field,observed_value,sorter_effect,verified_on
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6555E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6582E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6620E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6630E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6655E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6686E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6698E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6822E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6841E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6857E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6870E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6926E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6955E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6966E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6985E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.6989E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7015E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7042E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7059E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7074E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7101E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7127E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7141E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7214E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7223E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7238E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7248E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7261E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7269E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7284E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7305E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7310E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7347E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7366E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7399E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7470E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7483E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7499E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7506E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7527E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7560E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7608E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7686E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7695E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7725E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7756E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7769E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7781E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7807E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7816E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7832E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7837E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7886E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7896E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7925E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7959E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.7982E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-002,nstxuG121123K34,4,nstxuG121123K34/N4/egn04w.8005E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-08-31
DITW-003,nstx_135388,8,nstx_135388/N8/egn08w.2197E+02,zero_byte_mode_file,file_size,0,MODE_LOAD_FAILED,2026-08-31
DITW-003,nstx_135388,8,nstx_135388/N8/egn08w.2861E+02,zero_byte_mode_file,file_size,0,MODE_LOAD_FAILED,2026-08-31
DITW-003,nstx_135388,8,nstx_135388/N8/egn08w.3062E+02,zero_byte_mode_file,file_size,0,MODE_LOAD_FAILED,2026-08-31
DITW-004,nstxuG142301D46,7,nstxuG142301D46/N7/egn07w.1593E+02,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-05
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1532E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1555E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1559E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1572E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1573E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1574E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1575E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1576E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1577E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1580E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1582E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1583E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1584E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1701E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1702E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1703E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1705E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1706E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1708E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1709E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1710E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1711E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1712E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1714E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1732E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1733E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1734E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1735E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1736E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1872E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1873E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1875E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1877E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1879E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1880E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1881E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1902E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1903E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
DITW-005,nstxuG142301M21,4,nstxuG142301M21/N4/egn04w.1905E+03,nonfinite_scalar,gamma_d,NaN,INVALID_METADATA,2026-09-08
