path,input_fingerprint,training_label,baseline_decision,baseline_reason,candidate,r_start,r_end,n_qualifying,hf_total_fraction,hf_top2_ratio,hf_window_fraction,effective_length,n_firing_windows
nstxuE205042A01t022/N10/egn10w.3470E+01,4ae64e472b05e560dd3952293c842428f9a8cad3870fd6928a84c133c5464a8e,,GOOD,NO_GOOD_TEMPLATE,True,0.065,0.115,9,0.009488307702509457,0.010898758600635022,0.07491066484739875,0.03882029593229855,2
nstxuE202947A03t015/N5/egn05w.2352E+01,33429190a687c18d115d488121ba7ee41bcbe49d5c6041b13394bad2be189568,,BAD,BAD_CONT_CROSS_WINDOW,False,0.0,0.05,9,1.966692145215244e-08,2.009218895650718e-08,0.03405994696797517,0.014123978878629567,0
