path,mode_key,cohort,training_label,input_fingerprint,current_decision,current_reason,fired_gates,envelope_is_only_rejection,energy_fwhm_grid,ext_dr,ext_df_gap,nr,energy_peak_r,main_spike_fraction,spikes_fraction,spikes_top2_ratio,n_narrow_halfmax_components,energy_effective_length,local_hf_fraction,main_peak_local_hf_fraction,worst_window_peak_r,peak_window_r_start,peak_window_r_end,global_hf_top2_ratio,top2_energy_fraction,candidate_exception,candidate_new_survivor
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204707A04t030/N5/egn05w.9868E+01,nstxuE204707A04t030/N5/egn05w.9868E+01,pilot,,8bec2663f5425c0cec22515fa8a0cef16f74225bf8d83dc96f7fbe2df0c15dba,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.3178387461783236,0.06499999999999997,0.001611718162455506,201,0.225,0.16296027343075137,0.17014936335791636,0.19310079864393415,2,0.10296113680089633,0.24580820098597012,0.24580820098597012,0.225,0.2,0.25,0.16095456750330198,0.8811427221057806,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204708F03t017/N10/egn10w.7424E+01,nstxuE204708F03t017/N10/egn10w.7424E+01,pilot,,1c68f194d97b7503af072f5fc6f3f5c89bf043569b86f46c77d34ef97214ea60,GOOD,NO_GOOD_TEMPLATE,,False,1.023774318350762,0.0,0.0037093967871404624,201,0.24,0.7042350292447419,0.7042350292447419,0.7407405590442867,1,0.005933433837343746,0.2875519740633842,0.2875519740633842,0.24,0.215,0.265,0.2971262008134498,0.9507175226821053,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204708F03t017/N3/egn03w.1167E+02,nstxuE204708F03t017/N3/egn03w.1167E+02,pilot,,98178fb73fad8871fda42aba9d55fc23fa7e75b22e6ec3d6424a41ab47a644e3,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.352924131260752,0.0050000000000000044,3.2289284971475733e-05,201,0.23,0.4423729040029738,0.4423729040029738,0.4971337116964491,1,0.020812559966298834,0.06681459103752747,0.06681459103752747,0.23,0.20500000000000002,0.255,0.06946954056399168,0.889846923664448,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204708F03t017/N8/egn08w.6836E+01,nstxuE204708F03t017/N8/egn08w.6836E+01,pilot,,233349d3f9978cfff399766f24cc30252b22c56d280969e5b463d594f5eeda77,GOOD,NO_GOOD_TEMPLATE,,False,1.064122330093853,0.0,0.0058839330688238,201,0.29,0.6131392531652164,0.6131392531652164,0.6858651058644337,1,0.008380961621958784,0.3779202136933045,0.3779202136933045,0.29,0.265,0.315,0.3913485486673752,0.8939647868401808,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204708F03t017/N8/egn08w.8950E+01,nstxuE204708F03t017/N8/egn08w.8950E+01,pilot,,5c7c3ab4181a93443a5b3aefbe294a0e2e9dcdbadbdcc45ec5ecd18eb29e8743,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.1110133466039145,0.0049999999999999906,0.0006093912447432393,201,0.12,0.2552874712933967,0.34441491273465885,0.5910455246263233,2,0.03535156234312832,0.16389269961311204,0.16333214769973214,0.11,0.095,0.145,0.1712195527102441,0.5827214628727767,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204955F02t017/N7/egn07w.8319E+01,nstxuE204955F02t017/N7/egn07w.8319E+01,pilot,,98e4afef937e24ef981e6c3ca4e42bcfa078839e1a3268945f59fca64273fcd4,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.8788825418560418,0.0,0.0007601783862316978,201,0.155,0.7158925397269948,0.7158925397269948,0.7806034597355239,1,0.013763202258848405,0.04173964425264816,0.04173964425264816,0.155,0.13,0.18,0.04539095119344328,0.9171014178819373,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205040A01t016/N6/egn06w.1733E+01,nstxuE205040A01t016/N6/egn06w.1733E+01,pilot,,5c22d9044da11ed74436a02c031d4d546100cc2443a705b403c357ec60061d59,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.0225234985334035,0.030000000000000013,0.03612697310184111,201,0.105,0.4885279349864902,0.4885279349864902,0.5600563296432113,1,0.011140202569913573,0.27921956252087227,0.27921956252087227,0.105,0.08,0.13,0.33932668840899083,0.8722835706503149,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205040A01t016/N6/egn06w.2836E+01,nstxuE205040A01t016/N6/egn06w.2836E+01,pilot,,efc5f0292d89a2c22f71b98e8561edced1a0582b2864d53750d1dad01ca5c612,GOOD,NO_GOOD_TEMPLATE,,False,1.4745646320002859,0.0050000000000000044,0.004344886105229952,201,0.265,0.21960459295523532,0.23314015832626275,0.27911512033666835,2,0.05944731126182684,0.11895601473522542,0.10299197733977636,0.255,0.24,0.29,0.11042706023439831,0.8352831550116288,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205040A01t016/N8/egn08w.3920E+01,nstxuE205040A01t016/N8/egn08w.3920E+01,pilot,,2798b00ab881d7e4e5977b67f3dafd73763e4cf00fbdd0ea34b2c95360f6cfd7,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.6474944642357103,0.03,-0.204496923669345,201,0.125,0.17543351073787294,0.28337012616016855,1.0895965050917673,2,0.09485148301370482,0.08611033063292298,0.08585953214227193,0.115,0.1,0.15,0.1504036540084153,0.26006886479165303,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205042A01t022/N8/egn08w.3370E+01,nstxuE205042A01t022/N8/egn08w.3370E+01,pilot,,06cda468249acecdfffde1effff21d3a02028731b50aa9c51f88fd9a5c378320,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.8393821785697484,0.03,0.10332259754362243,201,0.1,0.6918120091668204,0.6918120091668204,1.0564216618997944,1,0.014261484944489141,0.07974288923949961,0.07974288923949961,0.1,0.075,0.125,0.1255572389401158,0.654863520994746,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG121123K70/N10/egn10w.3121E+02,nstxuG121123K70/N10/egn10w.3121E+02,pilot,,fccc021bbfbe5f2aedf51fa8dc9bba7b3f5c2e921fd12ae1acdec89e939b05fc,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.9287457230017013,0.0,0.04111877156731855,201,0.06,0.5881127256437775,0.5881127256437775,0.636647560197765,1,0.019933511793926117,0.02312091084373727,0.02312091084373727,0.06,0.035,0.085,0.030597924855612666,0.9237649877446936,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG121123N80/N9/egn09w.4646E+02,nstxuG121123N80/N9/egn09w.4646E+02,pilot,,fd222197f4a4d3ad65a850e03b22476667e8be91dd9eb7eac583e9ee7e5ee439,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.7271389634169798,0.0,0.0007125655107841147,201,0.14,0.5907795412376242,0.5907795412376242,0.6934601696739512,1,0.017478293659921932,0.025699136345459814,0.025699136345459814,0.14,0.115,0.165,0.029766824689634683,0.8519300272363083,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301H56/N7/egn07w.3503E+02,nstxuG142301H56/N7/egn07w.3503E+02,pilot,,8dde8886ab43323f7b3b913305d28f4f67771734180b7bb92b5a88bc86ea34e2,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.672862400181363,0.05499999999999999,-0.024672779195211277,201,0.155,0.34056395834101305,0.34056395834101305,0.35173766230586245,1,0.037540090310549105,0.07453952329161916,0.07453952329161916,0.155,0.13,0.18,0.07243737208391193,0.9682328474818457,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301L94/N9/egn09w.2746E+02,nstxuG142301L94/N9/egn09w.2746E+02,pilot,,51499bc25ef2e08afc4d569a14285327e8a87a75f712a07ac403bb7011febe5c,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.909620236053644,0.0050000000000000044,0.0005490950472053725,201,0.185,0.2422346517934293,0.42863669991905307,0.5885180333633045,2,0.06510059923766942,0.03651427148856455,0.03651427148856455,0.185,0.16,0.21,0.04390622935086821,0.7283323120439481,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N10/egn10w.2528E+02,nstxuG142301U84/N10/egn10w.2528E+02,pilot,,41cf0522bb865144b34778ed17f1428b891dee45705087864f6c02f05e65ff04,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.1539804267619247,0.04500000000000001,0.02005084145445652,201,0.155,0.03449301062161781,0.23563283778078714,0.33758707318421827,10,0.26748163822168697,0.15587895571373883,0.12579461610474918,0.19,0.13,0.18,0.10615777513778168,0.6979912932039445,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N2/egn02w.2456E+02,nstxuG142301U84/N2/egn02w.2456E+02,pilot,,afeb7cab12b7d8c7be7da75bbbdc88a6ef7a9260474220b858d247ff6b98ee7d,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.3584423697041312,0.135,0.010137100077029367,201,0.065,0.2348215327859308,0.32373533857606424,0.3387793931068771,2,0.0466289310679042,0.11900901596485165,0.11900901596485165,0.065,0.04,0.09,0.08600417340736422,0.9555933600540254,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuG142301U84/N2/egn02w.2495E+02,nstxuG142301U84/N2/egn02w.2495E+02,pilot,,1afb6b4a6b34552c188a729ac7a76cc6328deef329602b6f69b7e0aba8cec6bc,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.858414338648552,0.135,0.017873151795377674,201,0.065,0.23466861846959544,0.32704160606714267,0.3465422400484577,2,0.07047354637912114,0.10266140942611106,0.10266140942611106,0.065,0.04,0.09,0.06407623217612364,0.9437279738868537,False,False
