model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,208,173,6,7,22,0.9375,0.7857142857142857,0.7586206896551724,0.7719298245614034
cnn,208,157,22,19,10,0.8028846153846154,0.3125,0.3448275862068966,0.3278688524590164
combined_policy,208,173,6,7,22,0.9375,0.7857142857142857,0.7586206896551724,0.7719298245614034
