path,label,input_fingerprint,extremum_qualified,extremum_match_found,ext_dr,ext_df_gap,ext_energy_frac,energy_peak_r,energy_halfmax_width_grid,no_axis_decision,no_axis_primary_reason,w2_decision,w2_primary_reason,w2_axis_fires,w2_axis_peak,w2_axis_peak_harmonic_index,w2_axis_peak_r,w2_axis_halfmax_width_grid,w2_axis_component_touches_boundary,w3_decision,w3_primary_reason,w3_axis_fires,w3_axis_peak,w3_axis_peak_harmonic_index,w3_axis_peak_r,w3_axis_halfmax_width_grid,w3_axis_component_touches_boundary,w5_decision,w5_primary_reason,w5_axis_fires,w5_axis_peak,w5_axis_peak_harmonic_index,w5_axis_peak_r,w5_axis_halfmax_width_grid,w5_axis_component_touches_boundary,w10_decision,w10_primary_reason,w10_axis_fires,w10_axis_peak,w10_axis_peak_harmonic_index,w10_axis_peak_r,w10_axis_halfmax_width_grid,w10_axis_component_touches_boundary
nstxuG142301W29/N4/egn04w.2875E+02,bad,6e9f3dc21e5907c4936d583a2556bbd8dfd087a40e48199e977c76c2fc8c6fab,False,True,0.145,0.004327870388769784,0.23076829562741483,0.01,3.1336423152957216,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_AXIS_SPIKE,True,0.24254133759619392,2,0.01,1.6085694336792251,False,BAD,BAD_AXIS_SPIKE,True,0.5771975127824329,5,0.01,2.8541590904655947,False,BAD,BAD_AXIS_SPIKE,True,1.0,4,0.01,3.686784098138575,False,BAD,BAD_AXIS_SPIKE,True,1.0,4,0.01,3.686784098138575,False
nstxuG142301W29/N4/egn04w.2886E+02,bad,399a10e5fb0bfe3d7aa32d9fdf6e54ea4a6c0f0d6c108f22669cec31cb38eaf8,False,True,0.145,0.0023818613616722337,0.2907285620522334,0.01,3.156483377864856,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_AXIS_SPIKE,True,0.2421235381750863,2,0.01,1.619275225793071,False,BAD,BAD_AXIS_SPIKE,True,0.572096842345729,5,0.01,2.850879832718708,False,BAD,BAD_AXIS_SPIKE,True,1.0,4,0.01,3.6993412234532204,False,BAD,BAD_AXIS_SPIKE,True,1.0,4,0.01,3.6993412234532204,False
nstxuG142301W29/N4/egn04w.4097E+02,bad,a11d454010d466c0f1be4f86e85bedd1f875e2bb363119e3f333142e6ef9c584,False,True,0.11499999999999999,-0.15872325881678626,0.0033393024766702304,0.04,3.461544366032919,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_AXIS_SPIKE,True,0.4751054080057571,6,0.02,1.515059662909736,False,BAD,BAD_AXIS_SPIKE,True,0.4751054080057571,6,0.02,1.515059662909736,False,BAD,BAD_AXIS_SPIKE,True,0.4751054080057571,6,0.02,1.515059662909736,False,BAD,BAD_AXIS_SPIKE,True,0.4751054080057571,6,0.02,1.515059662909736,False
nstxuG142301W29/N5/egn05w.1479E+02,bad,516efa20dbe0466cf72741150e0768055f98ad7b887527364fd8405f6e97e223,False,True,0.49500000000000005,0.17996148391620448,0.030592191090137645,0.9550000000000001,18.397449168407064,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_CONT_CROSS_WINDOW,False,0.2919477630649045,6,0.02,3.7144943907850405,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.2919477630649045,6,0.02,3.7144943907850405,False,BAD,BAD_AXIS_SPIKE,True,0.2919477630649045,6,0.02,3.7144943907850405,False,BAD,BAD_AXIS_SPIKE,True,0.2919477630649045,6,0.02,3.7144943907850405,False
nstxuG142301W29/N5/egn05w.1499E+02,bad,d4b252ff2aee58098ed912240538e80ddf651201d772de71c9eda223e8110703,False,True,0.0,0.09232525437935431,0.3216079569054918,0.375,32.09695460570999,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_CONT_CROSS_WINDOW,False,0.20699919610699713,6,0.02,3.478303280007048,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.20699919610699713,6,0.02,3.478303280007048,False,BAD,BAD_AXIS_SPIKE,True,0.20699919610699713,6,0.02,3.478303280007048,False,BAD,BAD_AXIS_SPIKE,True,0.20699919610699713,6,0.02,3.478303280007048,False
nstxuG142301W29/N5/egn05w.2374E+02,bad,1ed9fd419470a80fac7e6e642fc5342ced47cfda4134e03b1caf84e12e2074d3,True,True,0.0049999999999999906,0.0002831673005801303,0.8733393718136667,0.09,2.159922901431588,REVIEW,NO_GOOD_TEMPLATE,REVIEW,NO_GOOD_TEMPLATE,False,0.4647045317207323,6,0.03,3.5535145079850476,False,REVIEW,NO_GOOD_TEMPLATE,False,0.4647045317207323,6,0.03,3.5535145079850476,False,BAD,BAD_AXIS_SPIKE,True,0.4647045317207323,6,0.03,3.5535145079850476,False,BAD,BAD_AXIS_SPIKE,True,0.4647045317207323,6,0.03,3.5535145079850476,False
nstxuG142301W29/N5/egn05w.2392E+02,bad,dc14405b5bdd8e4c7f4727970cd5086feeb7de6989561371f013c15e8f4fcb68,True,True,0.0,0.0040866561374634566,0.5928933484484591,0.085,1.1713725019355359,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_GRID_SCALE_SPIKE,False,0.690150622139538,6,0.025,4.07432922893078,False,BAD,BAD_GRID_SCALE_SPIKE,False,0.690150622139538,6,0.025,4.07432922893078,False,BAD,BAD_AXIS_SPIKE,True,0.690150622139538,6,0.025,4.07432922893078,False,BAD,BAD_AXIS_SPIKE,True,0.690150622139538,6,0.025,4.07432922893078,False
nstxuG142301W29/N5/egn05w.2505E+02,good,63cf4d36604c0b7c961849e64237d27b9f4a95a0bb3a08140ba9426ca9bd443e,True,True,0.0,0.026943921788263714,0.8547688296053719,0.085,5.3921636652763585,REVIEW,NO_GOOD_TEMPLATE,REVIEW,NO_GOOD_TEMPLATE,False,0.5928328902805263,6,0.025,2.391009229833046,False,BAD,BAD_AXIS_SPIKE,True,0.5928328902805263,6,0.025,2.391009229833046,False,BAD,BAD_AXIS_SPIKE,True,0.5928328902805263,6,0.025,2.391009229833046,False,BAD,BAD_AXIS_SPIKE,True,0.5928328902805263,6,0.025,2.391009229833046,False
nstxuG142301W29/N5/egn05w.2810E+02,bad,06e9594b16b4cf22a377af925ed38b84e67667510e4ec4393b3f7666d904c5a9,True,True,0.0,0.01712625573101528,0.4613441169103736,0.255,7.4542905797905625,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_GRID_SCALE_SPIKE,False,0.31969613288606114,6,0.02,4.213309137668511,False,BAD,BAD_GRID_SCALE_SPIKE,False,0.31969613288606114,6,0.02,4.213309137668511,False,BAD,BAD_AXIS_SPIKE,True,0.31969613288606114,6,0.02,4.213309137668511,False,BAD,BAD_AXIS_SPIKE,True,0.31969613288606114,6,0.02,4.213309137668511,False
nstxuG142301W29/N5/egn05w.2834E+02,bad,fdb1e524fe26ab3efc51a0be7957a15ffe150e0e35b304dbd1b6692d98b3a484,True,True,0.0,0.012797107933306661,0.4634316205425364,0.255,5.950812650861104,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_CONT_CROSS_WINDOW,False,0.3397013497185627,6,0.02,4.22304164440005,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.3397013497185627,6,0.02,4.22304164440005,False,BAD,BAD_AXIS_SPIKE,True,0.3397013497185627,6,0.02,4.22304164440005,False,BAD,BAD_AXIS_SPIKE,True,0.3397013497185627,6,0.02,4.22304164440005,False
