scenario,total_bad_good,total_bad_bad,total_review_good,total_review_bad,good_retention,bad_recall,retained_good_precision,evaluated_label_agreement
production_w10,29,1775,547,38,0.9496527777777778,0.9790402647545504,0.935042735042735,0.9719547928003349
width2_global,26,1750,550,63,0.9548611111111112,0.9652509652509652,0.8972267536704731,0.9627459187944747
width2_plus_nonext_w10_hybrid,27,1765,549,48,0.953125,0.9735245449531164,0.9195979899497487,0.9686061113436585
