path,label,w10_axis_peak,w10_axis_peak_r,w10_axis_halfmax_width_grid,energy_peak_r,energy_halfmax_width_grid,ext_dr,ext_df_gap,ext_energy_frac,w2_decision,w2_primary_reason
nstxuG121123K70/N2/egn02w.2681E+02,,0.6151498555100591,0.03,5.497577641813285,0.075,1.6709726937055358,0.015,0.03127870389916524,0.2025161496864164,BAD,BAD_GRID_SCALE_PACKET
nstxuG121123K70/N5/egn05w.4204E+02,,0.327466213712152,0.015,6.617339771459718,0.425,5.696246233963886,0.010000000000000009,0.0041879536488443414,0.3326280034987847,BAD,BAD_CONT_CROSS_WINDOW
nstxuG121123K70/N7/egn07w.2651E+02,,0.32618198489726563,0.03,2.534186436971717,0.09,4.726674568591352,0.015,0.03569215476566721,0.7140844062874737,REVIEW,NO_GOOD_TEMPLATE
