model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,79,31,0,10,38,0.8734177215189873,1.0,0.7916666666666666,0.8837209302325582
cnn,79,27,4,1,47,0.9367088607594937,0.9215686274509803,0.9791666666666666,0.9494949494949494
combined_policy,79,30,1,6,42,0.9113924050632911,0.9767441860465116,0.875,0.923076923076923
