model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,217,130,2,17,68,0.9124423963133641,0.9714285714285714,0.8,0.8774193548387097
cnn,217,123,9,8,77,0.9216589861751152,0.8953488372093024,0.9058823529411765,0.9005847953216374
combined_policy,217,129,3,17,68,0.9078341013824884,0.9577464788732394,0.8,0.8717948717948718
