path,shot,mode_key,input_fingerprint,rules_decision,rules_reason,rf_cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,rule_margin,nearest_gate,rules_selected_final,rf_cnn_selected_final
nstxuE204636A01t020/N9/egn09w.6910E+01,nstxuE204636A01t020,nstxuE204636A01t020/N9/egn09w.6910E+01,f6d2b6775d799e9df24f6de1b56bd3d45a90db223c4b4d16bec73c4a612a8fba,GOOD,NO_GOOD_TEMPLATE,BAD,0.2733333333333333,1.0,flagged_borderline_or_disagreement,0.7037420899082379,0.29625791009176206,BAD_GRID_SCALE_SPIKE,True,
nstxuE204636A01t020/N9/egn09w.9543E+01,nstxuE204636A01t020,nstxuE204636A01t020/N9/egn09w.9543E+01,d317a55879e4c726e551f90ebdf25fc2206e9a7f0cb75b8cdcd207ed7d471135,GOOD,NO_GOOD_TEMPLATE,BAD,0.44,2.5366341310979236e-14,flagged_borderline_or_disagreement,0.8740025928034879,0.1259974071965121,BAD_AXIS_SPIKE,True,
nstxuE204636A01t020/N10/egn10w.6931E+01,nstxuE204636A01t020,nstxuE204636A01t020/N10/egn10w.6931E+01,420b95feab39446d38e53be923824c595322ec60eb0f8aeb77fdde547831aa53,GOOD,NO_GOOD_TEMPLATE,BAD,0.26666666666666666,0.9999997615814209,flagged_borderline_or_disagreement,0.46711300649618426,0.5328869935038157,BAD_GRID_SCALE_SPIKE,True,
nstxuE204636A01t020/N10/egn10w.1687E+02,nstxuE204636A01t020,nstxuE204636A01t020/N10/egn10w.1687E+02,3bd5db95d3f60dadada54b434b0eff9b8513652e71cbced9de50d1e9d7aa0354,GOOD,NO_GOOD_TEMPLATE,BAD,0.25666666666666665,0.03983248397707939,silver_bad,0.6085619627316867,0.3914380372683133,BAD_GRID_SCALE_SPIKE,True,
nstxuE203653A02t025/N3/egn03w.1814E+02,nstxuE203653A02t025,nstxuE203653A02t025/N3/egn03w.1814E+02,76a32304581abf0a33431e553f24bbcb6b9cd0f0f2d3efa5a0feb728a1c3f2dd,GOOD,NO_GOOD_TEMPLATE,BAD,0.44333333333333336,0.34438586235046387,flagged_borderline_or_disagreement,0.8512100909817661,0.14878990901823386,BAD_CONTINUUM_CROSSING_TAIL,True,
nstxuE203653A02t025/N6/egn06w.9409E+01,nstxuE203653A02t025,nstxuE203653A02t025/N6/egn06w.9409E+01,f4fbae9d7774720ee220bd1f1cafcf44bbbcd701154305e977533acbc1664d59,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.8966666666666666,0.9999964237213135,gold_good,1.174125246646217,-0.1741252466462171,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203653A02t025/N6/egn06w.1464E+02,nstxuE203653A02t025,nstxuE203653A02t025/N6/egn06w.1464E+02,dd2a6c8a5f796cd9f2f7b289ca774a0bf36ffd14fa029d2ec67ee28bcfeb8230,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.81,1.0,gold_good,1.1660220909859946,-0.16602209098599463,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203653A02t025/N6/egn06w.1872E+02,nstxuE203653A02t025,nstxuE203653A02t025/N6/egn06w.1872E+02,8ba93c471de8b3711cd67f704c3ea8fada480bad5c81123166fa9e0732b172ab,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.9266666666666666,0.049602847546339035,flagged_rf_only_good,1.1410626404570177,-0.14106264045701766,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203653A02t025/N6/egn06w.2822E+02,nstxuE203653A02t025,nstxuE203653A02t025/N6/egn06w.2822E+02,c57cc2cac70c952fd8c83ccef6275f6630a59ded0c6baf4477f858f18829f173,BAD,BAD_CONTINUUM_CROSSING_TAIL,GOOD,0.6866666666666666,0.7296245694160461,silver_good,1.0921532431153727,-0.09215324311537265,BAD_CONTINUUM_CROSSING_TAIL,,True
nstxuE203653A02t025/N7/egn07w.3243E+02,nstxuE203653A02t025,nstxuE203653A02t025/N7/egn07w.3243E+02,337102b3ddcc848aeccc9907430ae534514a54ed28c25aa7648cb20c1eb6ed91,BAD,BAD_CONTINUUM_CROSSING_TAIL,GOOD,0.4266666666666667,0.9999998807907104,flagged_cnn_rescue,1.3894943094713144,-0.38949430947131436,BAD_CONTINUUM_CROSSING_TAIL,,True
nstxuE203653A02t025/N9/egn09w.8446E+01,nstxuE203653A02t025,nstxuE203653A02t025/N9/egn09w.8446E+01,41a1269d5634235f631206d3e6f443793747fed97be4ca20c7a3b0f72b3213fa,BAD,BAD_AXIS_SPIKE,GOOD,0.7733333333333333,0.0,flagged_rf_only_good,2.429994858597486,-1.4299948585974862,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203653A02t025/N9/egn09w.1057E+02,nstxuE203653A02t025,nstxuE203653A02t025/N9/egn09w.1057E+02,9680afdc89ac3db76b302bdd79130f8237d52459247d4cbcc86c8899a953dd5e,BAD,BAD_AXIS_SPIKE,GOOD,0.99,7.909293879559964e-12,flagged_rf_only_good,1.3879264436600292,-0.38792644366002915,BAD_AXIS_SPIKE,,True
nstxuE203653A02t025/N10/egn10w.9117E+01,nstxuE203653A02t025,nstxuE203653A02t025/N10/egn10w.9117E+01,11be7ac1e1aad6c2df232c816a0c9696632bd5f033513455daae55f44c7b9a94,BAD,BAD_AXIS_SPIKE,GOOD,0.9466666666666667,1.4992930508217484e-10,flagged_rf_only_good,2.7654806062979285,-1.7654806062979285,BAD_AXIS_SPIKE,,True
nstxuE203653A02t025/N10/egn10w.9963E+01,nstxuE203653A02t025,nstxuE203653A02t025/N10/egn10w.9963E+01,c9bebacf8a02f0db6b2ce430f37b67ee722de18617aaca8c0cba781ebca29c12,BAD,BAD_AXIS_SPIKE,GOOD,0.9766666666666667,7.502128477298178e-29,flagged_rf_only_good,2.353673829974315,-1.3536738299743152,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203653A02t025/N10/egn10w.1129E+02,nstxuE203653A02t025,nstxuE203653A02t025/N10/egn10w.1129E+02,977adbf9baff04dc2f1617d9cb930d51e36bf75e7bdd53215052a6cac44fe65b,BAD,BAD_AXIS_SPIKE,GOOD,0.9733333333333334,2.148212803677697e-24,flagged_rf_only_good,2.056358550017025,-1.0563585500170252,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203653A02t025/N10/egn10w.1194E+02,nstxuE203653A02t025,nstxuE203653A02t025/N10/egn10w.1194E+02,e6bccbfa7e15f46ae0bff360baed147931fa99906f506ffc3907f0eade9c0e82,BAD,BAD_AXIS_SPIKE,GOOD,0.7066666666666667,0.0,flagged_rf_only_good,3.2702029256631033,-2.2702029256631033,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203981A01t025/N3/egn03w.6409E+01,nstxuE203981A01t025,nstxuE203981A01t025/N3/egn03w.6409E+01,630cd120af3f763124af6ebc5ecd6fd12f6187dd0eb493ea0811d11f97cc93f9,BAD,BAD_AXIS_SPIKE,GOOD,0.9233333333333333,2.2866112018391567e-25,flagged_rf_only_good,2.4288397754404665,-1.4288397754404665,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203981A01t025/N3/egn03w.6660E+01,nstxuE203981A01t025,nstxuE203981A01t025/N3/egn03w.6660E+01,649b0cfcac7d9bf83c2472ae0f7916c312894984de726e636fb697b66c7387d2,GOOD,NO_GOOD_TEMPLATE,BAD,0.29,1.0,flagged_borderline_or_disagreement,0.9275518808899347,0.07244811911006532,BAD_GRID_SCALE_SPIKE,True,
nstxuE203981A01t025/N7/egn07w.6969E+01,nstxuE203981A01t025,nstxuE203981A01t025/N7/egn07w.6969E+01,f6fe76259186fb2383ec5b75d8fb82b42e197c05bde6f3bcb71bdb0bf7812657,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.9733333333333334,0.9991126656532288,gold_good,1.0204941869741755,-0.020494186974175488,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203981A01t025/N7/egn07w.1264E+02,nstxuE203981A01t025,nstxuE203981A01t025/N7/egn07w.1264E+02,4c0be278913dd195f0e6d234dafa52c94bfbbcbfdbb8dcff765342b461fa3924,BAD,BAD_AXIS_SPIKE,GOOD,0.5766666666666667,1.0,silver_good,1.1425972435896758,-0.14259724358967585,BAD_AXIS_SPIKE,,True
nstxuE203981A01t025/N9/egn09w.6457E+01,nstxuE203981A01t025,nstxuE203981A01t025/N9/egn09w.6457E+01,a2a94a7a785e630cbce1478c5cd901884b55470091411626b5d009c55acafd3d,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.8966666666666666,1.3880206097383052e-05,flagged_rf_only_good,1.47471160768022,-0.47471160768022,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203981A01t025/N9/egn09w.7760E+01,nstxuE203981A01t025,nstxuE203981A01t025/N9/egn09w.7760E+01,b333b283df342d08c4b5fffbf6c8ca2062592145d3a894a1d84279c3eb560d03,BAD,BAD_AXIS_SPIKE,GOOD,0.9566666666666667,4.093125516648632e-16,flagged_rf_only_good,1.6396527614994103,-0.6396527614994103,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
