shot,reason
nstx_120113,training_checked_or_other_status
nstx_135388,training_checked_or_other_status
nstx_141711,training_checked_or_other_status
nstxuE202806A02t025,training_checked_or_other_status
nstxuE202806A02t045,E_discharge_already_training_or_checked
nstxuE202842A01t030,N1_review_or_insufficient_evidence
nstxuE202842A01t035,N1_review_or_insufficient_evidence
nstxuE202855A01t020,training_checked_or_other_status
nstxuE202855A01t025,E_discharge_already_training_or_checked
nstxuE202855A01t030,E_discharge_already_training_or_checked
nstxuE202926A03t030,N1_review_or_insufficient_evidence
nstxuE202926A03t037,N1_review_or_insufficient_evidence
nstxuE202944A02t023,N1_or_N2_raw_log_coverage_or_offset
nstxuE202944A02t028,N1_review_or_insufficient_evidence
nstxuE202947A03t037,N1_review_or_insufficient_evidence
nstxuE203262A04t018,training_checked_or_other_status
nstxuE203262A04t022,E_discharge_already_training_or_checked
nstxuE203262A04t025,E_discharge_already_training_or_checked
nstxuE203609A01t017,E_discharge_already_training_or_checked
nstxuE203609A01t020,training_checked_or_other_status
nstxuE203609A01t030,E_discharge_already_training_or_checked
nstxuE203609A01t037,E_discharge_already_training_or_checked
nstxuE203653A02t017,N1_review_or_insufficient_evidence
nstxuE203653A02t020,N1_or_N2_raw_log_coverage_or_offset
nstxuE203655F01t017,N1_review_or_insufficient_evidence
nstxuE203655F01t030,N1_or_N2_raw_log_coverage_or_offset
nstxuE203656A02t017,N1_review_or_insufficient_evidence
nstxuE203656A02t025,N1_or_N2_raw_log_coverage_or_offset
nstxuE203963A01t017,E_discharge_already_training_or_checked
nstxuE203963A01t020,E_discharge_already_training_or_checked
nstxuE203963A01t025,training_checked_or_other_status
nstxuE203963A01t030,E_discharge_already_training_or_checked
nstxuE203981A01t017,N1_review_or_insufficient_evidence
nstxuE203981A01t019,N1_review_or_insufficient_evidence
nstxuE203981A01t022,N1_review_or_insufficient_evidence
nstxuE204118F01t017,N1_review_or_insufficient_evidence
nstxuE204118F01t035,N1_review_or_insufficient_evidence
nstxuE204118F01t040,N1_review_or_insufficient_evidence
nstxuE204186A01t017,E_discharge_already_training_or_checked
nstxuE204186A01t020,training_checked_or_other_status
nstxuE204186A01t025,E_discharge_already_training_or_checked
nstxuE204186A01t030,E_discharge_already_training_or_checked
nstxuE204621A03t017,E_discharge_already_training_or_checked
nstxuE204621A03t020,E_discharge_already_training_or_checked
nstxuE204621A03t025,E_discharge_already_training_or_checked
nstxuE204621A03t030,training_checked_or_other_status
nstxuE204636A01t025,N1_review_or_insufficient_evidence
nstxuE204645A16t015,training_checked_or_other_status
nstxuE204645A16t020,E_discharge_already_training_or_checked
nstxuE204645A16t025,E_discharge_already_training_or_checked
nstxuE204645A16t030,E_discharge_already_training_or_checked
nstxuE204669M03t015,E_discharge_already_training_or_checked
nstxuE204669M03t020,E_discharge_already_training_or_checked
nstxuE204669M03t025,training_checked_or_other_status
nstxuE204669M03t030,E_discharge_already_training_or_checked
nstxuE204678M01t025,N1_or_N2_raw_log_coverage_or_offset
nstxuE204678M01t030,N1_or_N2_raw_log_coverage_or_offset
nstxuE204707A04t015,E_discharge_already_training_or_checked
nstxuE204707A04t020,E_discharge_already_training_or_checked
nstxuE204707A04t025,E_discharge_already_training_or_checked
nstxuE204707A04t030,training_checked_or_other_status
nstxuE204707X02t017,E_discharge_already_training_or_checked
nstxuE204707X02t020,E_discharge_already_training_or_checked
nstxuE204707X02t027,E_discharge_already_training_or_checked
nstxuE204707X02t035,E_discharge_already_training_or_checked
nstxuE204708A06t017,E_discharge_already_training_or_checked
nstxuE204708A06t020,E_discharge_already_training_or_checked
nstxuE204708A06t025,E_discharge_already_training_or_checked
nstxuE204708A06t035,E_discharge_already_training_or_checked
nstxuE204708F03t017,training_checked_or_other_status
nstxuE204708F03t020,E_discharge_already_training_or_checked
nstxuE204708F03t025,E_discharge_already_training_or_checked
nstxuE204708F03t035,E_discharge_already_training_or_checked
nstxuE204944A01t017,training_checked_or_other_status
nstxuE204944A01t020,E_discharge_already_training_or_checked
