shot,mode_key,input_fingerprint,rules_decision,rules_reason,rf_cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier
nstxuE202806A02t025,nstxuE202806A02t025/N10/egn10w.1319E+02,a1e29210221f6a319e915c8c5f810954e1fe379d5d5461db9d8af87d925087bf,BAD,BAD_AXIS_SPIKE,GOOD,0.6733333333333333,0.0007661025738343596,flagged_rf_only_good
nstxuE202806A02t025,nstxuE202806A02t025/N10/egn10w.5223E+01,85449cbce8b30569d6d216bb2c0f732c1b9797401306f3daafd693395ba98bbe,GOOD,NO_GOOD_TEMPLATE,BAD,0.4633333333333333,5.266993029307853e-25,flagged_borderline_or_disagreement
nstxuE202806A02t025,nstxuE202806A02t025/N10/egn10w.7692E+01,86bdc4280e651f111ccabe49392ceedf033de653e558f48f5b52cfe5bb40f998,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.6566666666666666,2.1976069547235966e-05,flagged_rf_only_good
nstxuE202806A02t025,nstxuE202806A02t025/N3/egn03w.2515E+02,8be9e16371a6a989118d69beda3a49f5a35465eb7374db869548fd91a05fba39,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.7233333333333334,0.9999974966049194,gold_good
nstxuE202806A02t025,nstxuE202806A02t025/N3/egn03w.7423E+01,2fec1402fbb861b352c615d80e1b41728c27364ce9ee0d91b0aaf7931df8cbfb,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.5666666666666667,0.0,flagged_rf_only_good
nstxuE202806A02t025,nstxuE202806A02t025/N4/egn04w.1294E+02,b0159fd2a30cd918dffd8ae15ce838b2ee61f4ed0d855ab2d296d20b8f4915c9,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.6033333333333334,0.0,flagged_rf_only_good
nstxuE202806A02t025,nstxuE202806A02t025/N6/egn06w.9229E+01,783f25289858d550cc75bfa1641b2b78d6d6d0668b9ad6e92c1af0d06e118117,GOOD,NO_GOOD_TEMPLATE,BAD,0.2,3.5320228344210057e-16,silver_bad
nstxuE202806A02t025,nstxuE202806A02t025/N7/egn07w.2445E+02,3893b12babfd5d6e98830bb120c2a8b00171e2149b4e0d66ad96436e2103a87c,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.5833333333333334,0.0,flagged_rf_only_good
nstxuE202806A02t025,nstxuE202806A02t025/N7/egn07w.8340E+01,f680dbc01f8108994e35f1575a4eb84e688f6d230d13db5e21d01deffdfd6f85,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.63,0.0,flagged_rf_only_good
nstxuE202806A02t025,nstxuE202806A02t025/N8/egn08w.1016E+02,1a914bd894a5728c1d1f6510edb0b674d5863b2e894d959cb582b458de4b83e7,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.75,0.0,flagged_rf_only_good
nstxuE202806A02t025,nstxuE202806A02t025/N8/egn08w.1611E+02,1f885e062dc5bc88436795fdf3913507ec9ec2d6f5f72f3695ce8de95c86f16d,GOOD,NO_GOOD_TEMPLATE,BAD,0.25333333333333335,1.0,flagged_borderline_or_disagreement
nstxuE202806A02t025,nstxuE202806A02t025/N8/egn08w.7959E+01,75d10fe839ba61b32c41b4e6a3a6195a4834bf33112abe395c6c62fc58f6d8e0,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.5,6.958390027372863e-13,flagged_rf_only_good
nstxuE202806A02t025,nstxuE202806A02t025/N8/egn08w.9030E+01,50e17b41f61158411b7324db314d13b3e5fef52169002702ff6f01aeb27e8b15,GOOD,NO_GOOD_TEMPLATE,BAD,0.39666666666666667,7.653383704564476e-09,silver_bad
nstxuE202806A02t025,nstxuE202806A02t025/N9/egn09w.1552E+02,e87bf24c37c5b9da78b9454134d5861c8e1370cad794cb5b71581a07fc6d05c9,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.44666666666666666,0.9999998807907104,flagged_cnn_rescue
nstxuE202806A02t025,nstxuE202806A02t025/N9/egn09w.7757E+01,7f6f9d59506f03d85e1dfb456d245a5dcda5a3736c408c6a92fabe5ffd6816ab,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.7033333333333334,1.0,gold_good
nstxuE202806A02t025,nstxuE202806A02t025/N9/egn09w.9313E+01,afcdaea58adcf195d6d38dbbc18f94909aeb719efc876a130de23185a08b40b7,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.6766666666666666,0.0,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.1770E+02,19fe53325a4381dfe9d4cb7da64056c75e51012ef87f1e8034eaedf17321934c,GOOD,NO_GOOD_TEMPLATE,BAD,0.21,4.39817793296271e-10,silver_bad
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.2741E+01,643e8acda7d139367939fb742b75209814a4e6395dabcc8353776a9f3584f475,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.58,3.4271181448275456e-08,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.3061E+01,b820e44d0d2d3f9706d5a9cf51b7f46fd4176f6e6d78f2cc02bf18b39f62446c,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.49666666666666665,0.9081981778144836,flagged_cnn_rescue
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.3973E+01,2c0709e623a3fec074d259fa94ad6091c5f248b301d574d9c387a85658ef118c,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.54,2.88689506078299e-07,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.4444E+01,b7696d5c96e0e41707bce45de810b3616330287266e914d35f04d3af59d7d627,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.75,1.0865749189292728e-08,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.4510E+01,c133df069e83ad45fb9634cd664dac26badb69295b75cf4fa5260f7498774b41,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.5133333333333333,0.0,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.5558E+01,22d3e8ac5743206b7465cf0300e9577e24fbdfde3d6af6fdd80856b756232b2a,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.6233333333333333,0.0,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.6516E+01,38eae558a619898e404243c829ddbc19b3ed08882d5e3835c0785d43ad1095da,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.7766666666666666,0.999995231628418,gold_good
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.6623E+01,808f10bc348d37f80692580cd92b1f0d2cbe124e2ba413ea39b51814f8784471,GOOD,NO_GOOD_TEMPLATE,BAD,0.30666666666666664,3.618154495628467e-13,silver_bad
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.8331E+01,d957dfde9f7232bc4988fd3307e905caef795228bdafac1fca8276afeb90cef1,GOOD,NO_GOOD_TEMPLATE,BAD,0.24666666666666667,1.0,flagged_borderline_or_disagreement
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.8504E+01,78760303f9daaab49c5ede08da5e7989264dd291260497b827359541429a9888,GOOD,NO_GOOD_TEMPLATE,BAD,0.38333333333333336,1.0,flagged_borderline_or_disagreement
nstxuE203262A04t018,nstxuE203262A04t018/N3/egn03w.1291E+02,dc0dbe66a74fe5e8e63a5592c644b991b38ddcfef663d46d16be46c629cd5973,GOOD,NO_GOOD_TEMPLATE,BAD,0.4766666666666667,4.112856984457172e-26,flagged_borderline_or_disagreement
nstxuE203262A04t018,nstxuE203262A04t018/N4/egn04w.1263E+02,133cc8ecfd2fa650ca0d4ff17cad0d6079db5aef56ba8b2e4207912ebda03212,GOOD,NO_GOOD_TEMPLATE,BAD,0.39666666666666667,0.0,silver_bad
nstxuE203262A04t018,nstxuE203262A04t018/N4/egn04w.8929E+01,8c0bcb1ccd153462c4046849bc599a64b44ecab449716975c882e158b3860293,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.5566666666666666,3.0441564013059534e-38,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N5/egn05w.1322E+02,1e1c7958fc3aff0ad2be07d404d05f23a7bf0a76d01e2c9f95ebce8b4300b372,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.53,2.303781696213617e-24,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N6/egn06w.4322E+01,4f820e7ecdf64ed433fc448724b250c0516b57d9e250e34b24a1b0d1124ae696,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.6633333333333333,0.9956865310668945,silver_good
nstxuE203262A04t018,nstxuE203262A04t018/N7/egn07w.2226E+01,e93291bfa9d7d33f290f285b8399e864e704f55c6b4f8492d39ea48c08a1f8ca,GOOD,NO_GOOD_TEMPLATE,BAD,0.37666666666666665,1.2014831352047395e-09,silver_bad
nstxuE203262A04t018,nstxuE203262A04t018/N8/egn08w.4882E+01,9c518affdf8c4df6555c196c6a552c152820a9622295bc04763320d0388af964,GOOD,NO_GOOD_TEMPLATE,BAD,0.49333333333333335,0.0,flagged_borderline_or_disagreement
nstxuE203262A04t018,nstxuE203262A04t018/N9/egn09w.1738E+02,250a9937b8764ac4e79944ca864a94b3b87695bdc257f15992156dc1208497ef,GOOD,NO_GOOD_TEMPLATE,BAD,0.48333333333333334,2.8751073535908207e-25,flagged_borderline_or_disagreement
nstxuE203262A04t018,nstxuE203262A04t018/N9/egn09w.2705E+01,a61ca57b154763e828882efd077cf380119eedeff10f811f40d95efbc557fdbd,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.56,9.482590712650563e-09,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N9/egn09w.4938E+01,c6de0026acbb86085b5e97fb256b25cc3cbe8727f96f0375e4d2446dfa4e0734,GOOD,NO_GOOD_TEMPLATE,BAD,0.31333333333333335,0.0,silver_bad
nstxuE203262A04t018,nstxuE203262A04t018/N9/egn09w.7920E+01,064a35d0b209400b94cd5ec952db7b4fc54b0536b9652f5e30dc9c6f34f4fd35,GOOD,NO_GOOD_TEMPLATE,BAD,0.22,1.0,flagged_borderline_or_disagreement
nstxuE203262A04t018,nstxuE203262A04t018/N9/egn09w.8000E+01,67cb4013256b8951a1ac605b8b8996b6c8cc84034becf34e2605358b1eefcac7,GOOD,NO_GOOD_TEMPLATE,BAD,0.10666666666666667,1.0,flagged_borderline_or_disagreement
nstxuE203609A01t020,nstxuE203609A01t020/N10/egn10w.4899E+01,21b401662960722cd0653b28e389c3c32943da8b5e5d921b381e0f0ffa853adc,BAD,BAD_AXIS_SPIKE,GOOD,0.93,1.2783934703365683e-25,flagged_rf_only_good
nstxuE203609A01t020,nstxuE203609A01t020/N10/egn10w.7894E+01,e2ba65cda785908781727dfa39fd90ec2786324460f44b51e7ca334e9f5ea7d2,BAD,BAD_AXIS_SPIKE,GOOD,0.56,0.0,flagged_rf_only_good
nstxuE203609A01t020,nstxuE203609A01t020/N6/egn06w.2835E+01,91e925976018acffede5271418e311095b1044f15e2728f1902c61463eaec080,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.8366666666666667,0.0,flagged_rf_only_good
nstxuE203609A01t020,nstxuE203609A01t020/N6/egn06w.3722E+01,fdbfbb1f0f8f957a3ae154dfb4889e64e54eeacb295e37456af112b6fd1ad9b3,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.6233333333333333,1.2651752460112036e-22,flagged_rf_only_good
nstxuE203609A01t020,nstxuE203609A01t020/N7/egn07w.2711E+01,25e3c674aff442608df9d7c411966face4f668cbce34f733d8c98d03fc52a6d2,GOOD,NO_GOOD_TEMPLATE,BAD,0.36666666666666664,0.0,silver_bad
nstxuE203609A01t020,nstxuE203609A01t020/N7/egn07w.2944E+01,0e199d0bc8dde119dd7bb65c654bcec6aacf1926d2bfb704ede9ad41c5304038,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.45,1.0,flagged_cnn_rescue
nstxuE203609A01t020,nstxuE203609A01t020/N7/egn07w.9477E+01,5dd0e552aceb1f164da6e61edbc9551d4810a34479bc56b4f47bfee4f72fdff0,GOOD,NO_GOOD_TEMPLATE,BAD,0.31333333333333335,0.0,silver_bad
nstxuE203609A01t020,nstxuE203609A01t020/N8/egn08w.3324E+01,6d28a0382ab207416529bdf732b77d72946c3fc17b6fb3d152bf62301a6e3c37,BAD,BAD_AXIS_SPIKE,GOOD,0.9366666666666666,2.712076657002127e-12,flagged_rf_only_good
nstxuE203609A01t020,nstxuE203609A01t020/N8/egn08w.4721E+01,4af202fa6c96d73c04712680dd200635410ea8fb7c710876433cddf71c4f983e,BAD,BAD_AXIS_SPIKE,GOOD,0.96,3.761365663379479e-10,flagged_rf_only_good
nstxuE203609A01t020,nstxuE203609A01t020/N8/egn08w.5439E+01,54ce246f91ed2e209c268d4f694c8393e9a9da4493ef8c22a65953fb99855d19,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.9733333333333334,0.6856855154037476,gold_good
nstxuE203609A01t020,nstxuE203609A01t020/N8/egn08w.5685E+01,aa97bcf71ef7b474ac1745e23d9081d4cfdddd226d72cda07af95278f1f355fe,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.97,1.0,gold_good
nstxuE203963A01t025,nstxuE203963A01t025/N10/egn10w.1077E+02,7edb050c2b0f740e09fb9282d6f2ffb82da87009d6489b2d2249549e24d88ab4,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.77,0.06148049980401993,flagged_rf_only_good
nstxuE203963A01t025,nstxuE203963A01t025/N2/egn02w.4449E+01,beb3fa0709eae4dd8b0ca6d15f3f519059386c343564f5e06df0aea42f5eaf45,BAD,BAD_AXIS_SPIKE,GOOD,0.8366666666666667,0.9999992847442627,gold_good
nstxuE203963A01t025,nstxuE203963A01t025/N5/egn05w.4440E+01,8a092a52cdb54d567530170bf3ed1745d8df924b32fbe16c71d24286a8aaef3d,BAD,BAD_AXIS_SPIKE,GOOD,0.53,1.5429671429423308e-13,flagged_rf_only_good
nstxuE203963A01t025,nstxuE203963A01t025/N6/egn06w.4492E+01,77f1a526c55d3a5d6bf280864a58ee5b4badda743853260affc27784f913108f,BAD,BAD_AXIS_SPIKE,GOOD,0.7766666666666666,0.029030265286564827,flagged_rf_only_good
nstxuE203963A01t025,nstxuE203963A01t025/N6/egn06w.4648E+01,ea86a3f416307f5a87bbc6f31fe205386672b9178c1fe122ffbf4ec4db1b2caa,GOOD,NO_GOOD_TEMPLATE,BAD,0.39666666666666667,9.769605640030932e-07,silver_bad
nstxuE203963A01t025,nstxuE203963A01t025/N6/egn06w.7633E+01,08887cd33b0c75b692af183a4796bb1e08a512ee6e3218a4b7abd5f335a44011,GOOD,NO_GOOD_TEMPLATE,BAD,0.24333333333333335,0.9999998807907104,flagged_borderline_or_disagreement
nstxuE203963A01t025,nstxuE203963A01t025/N7/egn07w.7672E+01,5edc283ac6620fafe5b566a5b8854ff7ddccc8f52e6ce6c1cf00fcf7d598a120,GOOD,NO_GOOD_TEMPLATE,BAD,0.21,0.9999992847442627,flagged_borderline_or_disagreement
nstxuE203963A01t025,nstxuE203963A01t025/N8/egn08w.9371E+01,f1d556c8327db69de5c960238d21dcd0a574836a8414b0f2dfcf9c31db29c0e0,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.8266666666666667,1.0,gold_good
nstxuE203963A01t025,nstxuE203963A01t025/N9/egn09w.4623E+01,0a08f43bbaaaf37bf9e9fd493f4b5b220a5e37967b73fda22ea3d754a3cf013e,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.73,2.1711281649543355e-35,flagged_rf_only_good
nstxuE203963A01t025,nstxuE203963A01t025/N9/egn09w.8470E+01,e6dea7de0665a8f6a1f0c327d337fb434467d6ce29ed5363112c22f1759c39aa,BAD,BAD_AXIS_SPIKE,GOOD,0.5233333333333333,0.0,flagged_rf_only_good
nstxuE204186A01t020,nstxuE204186A01t020/N10/egn10w.1271E+02,65b9f2f0d8ee0c5ec666be39bb648b85b43c6052b8a1f5b8fa2200a93756407d,GOOD,NO_GOOD_TEMPLATE,BAD,0.37666666666666665,6.487627906834567e-28,silver_bad
