model,n_folds,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
cnn,6,972,868,44,26,34,0.9279835390946503,0.4358974358974359,0.5666666666666667,0.4927536231884058
combined_policy,6,972,891,21,34,26,0.9434156378600823,0.5531914893617021,0.43333333333333335,0.48598130841121495
rf,6,972,893,19,36,24,0.9434156378600823,0.5581395348837209,0.4,0.4660194174757281
