shot,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstx_120113,541,0,0,133,41,367,174,42,1,46,46,128,8,0.26436781609195403,0.04597701149425287,0.9597701149425287,0.27153256704980844,0.26970886807531136,0.023333333333333334,6.189417638395306e-25,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,1169,0,0,330,14,825,344,106,14,144,137,200,59,0.39825581395348836,0.17151162790697674,0.8662790697674418,0.4034786821705426,0.4384239012628981,0.21666666666666667,1.4047706810293992e-08,7,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_141711,679,0,0,267,22,390,289,53,9,70,69,219,28,0.23875432525951557,0.09688581314878893,0.9446366782006921,0.2648212226066897,0.24807811747373157,0.07,4.068607411331632e-31,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,125,0,0,78,1,46,79,30,7,42,42,37,12,0.5316455696202531,0.1518987341772152,0.9240506329113924,0.46767932489451464,0.4994443516225476,0.5633333333333334,0.49063894152641296,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,973,0,0,195,22,756,217,40,17,68,68,149,32,0.31336405529953915,0.14746543778801843,0.8940092165898618,0.26513056835637483,0.365503525383305,0.03333333333333333,1.076629421405253e-34,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,1486,0,0,267,28,1191,295,38,6,65,63,230,45,0.2135593220338983,0.15254237288135594,0.8610169491525423,0.21472316384180792,0.22423534107382706,0.023333333333333334,7.279829367636774e-30,2,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123J38,620,0,0,165,9,446,174,10,4,20,19,154,23,0.10919540229885058,0.13218390804597702,0.9022988505747126,0.1546360153256705,0.15326973294055174,0.04833333333333334,0.0,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,837,0,0,206,2,629,208,4,4,18,18,190,16,0.08653846153846154,0.07692307692307693,0.9375,0.11397435897435895,0.050081062680266304,0.03,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123Q62,1186,0,0,217,24,945,241,0,5,6,5,235,32,0.02074688796680498,0.13278008298755187,0.9004149377593361,0.09295988934993085,0.11778008808336593,0.03,0.0,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,830,0,0,52,24,754,76,0,0,0,0,76,0,0.0,0.0,1.0,0.01219298245614035,7.141261997226518e-12,0.006666666666666667,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,1016,0,0,161,14,841,175,1,0,2,2,173,10,0.011428571428571429,0.05714285714285714,0.9542857142857143,0.07579047619047619,0.047479482728974655,0.03,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301Y93,651,0,0,93,13,545,106,0,0,1,1,105,5,0.009433962264150943,0.04716981132075472,0.9622641509433962,0.04323899371069182,0.037736776124401294,0.008333333333333333,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,725,0,0,261,14,450,275,53,7,64,63,211,23,0.2290909090909091,0.08363636363636363,0.9454545454545454,0.2482787878787879,0.25819185451989235,0.04,0.0,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
