model,n_folds,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
cnn,13,2610,1899,105,108,498,0.9183908045977012,0.8258706467661692,0.8217821782178217,0.8238213399503722
combined_policy,13,2610,1948,56,116,490,0.9340996168582375,0.8974358974358975,0.8085808580858086,0.8506944444444445
rf,13,2610,1957,47,134,472,0.9306513409961685,0.9094412331406551,0.7788778877887789,0.8391111111111111
