model,n_folds,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
cnn,7,1638,1031,61,82,464,0.9126984126984127,0.8838095238095238,0.8498168498168498,0.8664799253034547
combined_policy,7,1638,1057,35,82,464,0.9285714285714286,0.9298597194388778,0.8498168498168498,0.8880382775119616
rf,7,1638,1064,28,98,448,0.9230769230769231,0.9411764705882353,0.8205128205128205,0.8767123287671232
