mode_key,input_fingerprint,n_radial,r_energy_peak,crossing_number,boundary,r_cross,tail_side,tail_fraction,K_cross_halfwindow_4,tail_over_top2,top2_energy_share,E_total_peak_normalized,E_tail_peak_normalized
nstxuE205045A01t022/N4/egn04w.3005E+02,9e361e1899d2bb12dbc62d9d5d964a0b09d70ecf21d6777093893fe84f741903,201,0.835,1,high,0.5199294984740421,inner,0.015033081541339177,0.6504338947219204,0.05718621844257758,0.2628794480690195,0.2470497954752205,0.0037139197201501548
nstxuE205045A01t022/N4/egn04w.3005E+02,9e361e1899d2bb12dbc62d9d5d964a0b09d70ecf21d6777093893fe84f741903,201,0.835,2,high,0.9806538596010793,outer,3.194461481337285e-06,1.7319434996735417,1.2151811428402627e-05,0.2628794480690195,0.2470497954752205,7.89191055642629e-07
nstxuE205045A01t022/N5/egn05w.3216E+02,f419cac766244e4d84003d800aaa400c016b3966d517a638552f9ee919295d42,201,0.855,1,high,0.5345007745148621,inner,0.011040841534878188,0.6616614042350604,0.044540044246680136,0.24788573342517806,0.20976036120755753,0.0023159309083914514
nstxuE205045A01t022/N5/egn05w.3216E+02,f419cac766244e4d84003d800aaa400c016b3966d517a638552f9ee919295d42,201,0.855,2,high,0.9793713435180125,outer,1.3247603751209702e-05,1.526456171554982,5.3442380762135974e-05,0.24788573342517806,0.20976036120755753,2.7788221479727372e-06
nstxuE205045A01t022/N7/egn07w.2662E+02,8bd689d101a3b0eace28078a37c439c4c59225240da910b93dc098e7c8d3640c,201,0.755,1,high,0.5130235543988138,inner,0.007966999420439644,0.06410396777311078,0.030459709816535747,0.2615586119640108,0.22220234271478875,0.0017702859356290522
nstxuE205045A01t022/N7/egn07w.2662E+02,8bd689d101a3b0eace28078a37c439c4c59225240da910b93dc098e7c8d3640c,201,0.755,2,high,0.983642590490125,outer,8.760669489848993e-08,2.2766280608490725,3.34940968835483e-07,0.2615586119640108,0.22220234271478875,1.9466412842732666e-08
nstxuE205045A01t022/N7/egn07w.2662E+02,8bd689d101a3b0eace28078a37c439c4c59225240da910b93dc098e7c8d3640c,201,0.755,3,high,0.98572506109616,outer,3.75552676734614e-08,2.1533950576734897,1.435826080872031e-07,0.2615586119640108,0.22220234271478875,8.344868463890501e-09
nstxuE205045A01t022/N7/egn07w.2845E+02,76862c87061215fa8f54e7e7b7859edcb47217d441251654f2331e74285234d3,201,0.77,1,high,0.5266404973110849,inner,0.005331865635179497,0.07343276752562491,0.021694917750828102,0.24576565333952366,0.21630008838597192,0.0011532830081514506
nstxuE205045A01t022/N7/egn07w.2845E+02,76862c87061215fa8f54e7e7b7859edcb47217d441251654f2331e74285234d3,201,0.77,2,high,0.9821804376520431,outer,8.937381945628431e-08,2.2051711642063543,3.636546370164058e-07,0.24576565333952366,0.21630008838597192,1.9331565030834912e-08
nstxuE205045A01t022/N7/egn07w.2845E+02,76862c87061215fa8f54e7e7b7859edcb47217d441251654f2331e74285234d3,201,0.77,3,high,0.9865060709033117,outer,1.6431392135807243e-08,2.0716311053219845,6.68579677938454e-08,0.24576565333952366,0.21630008838597192,3.5541115456803515e-09
nstxuE205045A01t022/N8/egn08w.2732E+02,adaf4da979b38301f2fbb48bf5835581bfc2b74df72b430a806ea97b5c29e07d,201,0.765,1,high,0.5093132746033421,inner,0.0037554685014960483,0.025684134017077812,0.015579426929075121,0.24105305789440826,0.20988103326419918,0.000788201609485144
nstxuE205045A01t022/N8/egn08w.4007E+02,a494b78ca19304a976a250a7aeb6d2dee6f5d51a67af3dd9177931bd20b4f990,201,0.93,1,high,0.5986035453888123,inner,0.024557659901608964,1.901602708200028,0.1557926806121945,0.1576303829236939,0.07588364676689734,0.0018635247893952931
nstxuE205045A01t022/N8/egn08w.4550E+02,327b25e9ca10106ac16616c42b91644cd2de167f9c8cdf27f818d963b64fc0e3,201,0.93,1,high,0.6155454536430314,inner,0.04877092878403789,1.5298711190769287,0.33570702839042477,0.14527824757758023,0.10510458457426022,0.005126048209147131
nstxuE205045A01t022/N8/egn08w.4550E+02,327b25e9ca10106ac16616c42b91644cd2de167f9c8cdf27f818d963b64fc0e3,201,0.93,2,high,0.9731738695693462,outer,8.447270264055895e-06,2.084945781864675,5.8145458146065234e-05,0.14527824757758023,0.10510458457426022,8.878468318999582e-07
