mode_key,input_fingerprint,n_radial,r_energy_peak,crossing_number,boundary,r_cross,tail_side,tail_fraction,K_cross_halfwindow_4,tail_over_top2,top2_energy_share,E_total_peak_normalized,E_tail_peak_normalized
nstxuE205045A01t022/N9/egn09w.2606E+02,8f097901b61887e4c45a04a48d4da2ffc0136fdfa5431cd1bbe5a9d673ea1f54,201,0.74,1,high,0.4924396197052722,inner,0.0031501033447673536,0.014750715530007697,0.013675120252340403,0.23035288075278423,0.23170822523413975,0.0007299048553201706
nstxuE205045A01t022/N9/egn09w.4932E+02,e0fb9764ac7ae51e81b270773d3f240853a1f7da30d4f01a83c85530e9272519,201,0.93,1,high,0.62738657727363,inner,0.03613696060615261,0.9377438459929587,0.23562295514244225,0.15336774205342837,0.06792583764353477,0.002454633319064334
nstxuE205045A01t022/N10/egn10w.5337E+02,956f3790ba06338eb9f77f748da4fb824d52dd0ab9b463958bf112059ff6af76,201,0.84,1,high,0.6369900819958355,inner,0.0676040661472638,1.235345574516515,0.4744731668622447,0.14248238018250567,0.09790785130524118,0.006618968855975991
nstxuE205045A01t022/N7/egn07w.4458E+02,6e15355a98345169435f4aff19b603f47669c7b9bc5d9a1708559d60fdb92f09,201,0.85,1,high,0.6072087066500338,inner,0.0282740423400106,0.9037806488876231,0.18308999862090986,0.15442701705707235,0.2149606454756414,0.00607780639161429
nstxuE205045A01t022/N7/egn07w.4458E+02,6e15355a98345169435f4aff19b603f47669c7b9bc5d9a1708559d60fdb92f09,201,0.85,2,high,0.9734012634367251,outer,0.00013408874477471855,2.378041979976834,0.0008682984838408341,0.15442701705707235,0.2149606454756414,2.8823803127782596e-05
nstxuE205045A01t022/N8/egn08w.2462E+02,225f49d8a47db541cd2bae01145845e139082800ab32461d8c90db8d8bd035e2,201,0.925,1,high,0.4924874279487407,inner,0.011507389278338638,0.01204272236041282,0.04583980085395132,0.25103488810961355,0.17892967455709072,0.0020590134185748867
nstx_120113/N7/egn07w.2630E+02,08722db9985c2b61a574410970f8d4f1f8649578d49e9284ad13ad65aa1ad89f,201,0.915,1,high,0.34427302574755136,inner,0.006419942888262325,1.6067899112703352,0.0409344384439749,0.1568347614454027,0.2095353275367309,0.0013452048358591523
nstx_135388/N4/egn04w.7336E+02,9fb965fe181ce581733e95e3f219bbe2a1101285567d5f70800b3ff67c7e8962,201,0.9450000000000001,1,high,0.28744499181332656,inner,0.004096932356030681,0.5099691926923428,0.04007786296736904,0.10222432167519407,0.3627252453831083,0.0014860607941592247
nstx_141711/N9/egn09w.1566E+03,142211daa4d7b42d3b9938f3ebc4bd34ed8912fd3ad7d30581f94708669e4ad9,201,0.88,1,high,0.4587554506771756,inner,0.04481837120144473,0.4321500173467526,0.31605427750251197,0.14180593142292947,0.22334438708475696,0.010009931646123797
nstxuE204669M03t025/N10/egn10w.2352E+02,ac40a2faa5006166846c107c248581e682ed5d52847a453580e21e014faea801,201,0.885,1,high,0.5584654321343907,inner,0.01314110793210236,1.1073274087544618,0.12419772701158606,0.10580795839264001,0.1422024313614536,0.0018686974987282383
nstxuE204669M03t025/N10/egn10w.2352E+02,ac40a2faa5006166846c107c248581e682ed5d52847a453580e21e014faea801,201,0.885,2,high,0.5649345019107158,inner,0.013885799163290514,1.044314265432167,0.13123586707686072,0.10580795839264001,0.1422024313614536,0.001974594402416748
nstxuE204669M03t025/N10/egn10w.2352E+02,ac40a2faa5006166846c107c248581e682ed5d52847a453580e21e014faea801,201,0.885,3,high,0.5910323167757141,inner,0.019227039876509894,0.08617333552174414,0.18171638663663436,0.10580795839264001,0.1422024313614536,0.002734131818323328
nstxuE204669M03t025/N10/egn10w.2352E+02,ac40a2faa5006166846c107c248581e682ed5d52847a453580e21e014faea801,201,0.885,4,high,0.9703744000421957,outer,2.8670619521831142e-06,2.4556093762902997,2.7096845981507445e-05,0.10580795839264001,0.1422024313614536,4.077031804389139e-07
nstxuG121123B12/N8/egn08w.2892E+02,3308a4b00b7a07b080a0c05cb9d271998692d849de42779511bdbc49d7d8066b,201,0.14,1,high,0.8278832467988644,outer,0.019481324793608867,1.588510776871752,0.043690995969859134,0.44588877779413266,0.08311562214270311,0.0016192024303848614
nstxuG121123B12/N9/egn09w.1505E+02,08d84d4b75bb5b5f84c352d3b429c85e99d1fc92a2dc026f9cf5e93ead5b9891,201,0.91,1,low,0.14792189968664915,inner,2.8097009743677462e-05,0.9783654099042582,0.000295999102678134,0.0949226179723586,0.1871701769853764,5.258922286483957e-06
nstxuG121123B12/N9/egn09w.1505E+02,08d84d4b75bb5b5f84c352d3b429c85e99d1fc92a2dc026f9cf5e93ead5b9891,201,0.91,2,low,0.17328173580779938,inner,0.00037851440952305977,1.0693025531168865,0.003987610304145666,0.0949226179723586,0.1871701769853764,7.084660902194635e-05
nstxuG121123B12/N9/egn09w.1505E+02,08d84d4b75bb5b5f84c352d3b429c85e99d1fc92a2dc026f9cf5e93ead5b9891,201,0.91,3,low,0.24986679573236534,inner,0.0006068426513308012,1.0816281218738224,0.006393024805821446,0.0949226179723586,0.1871701769853764,0.00011358284645186114
nstxuG121123B12/N9/egn09w.1505E+02,08d84d4b75bb5b5f84c352d3b429c85e99d1fc92a2dc026f9cf5e93ead5b9891,201,0.91,4,high,0.9609180520367311,outer,0.008158062241380382,2.1124944093140465,0.08594434514812901,0.0949226179723586,0.1871701769853764,0.001526945953576886
nstxuG121123J38/N8/egn08w.2421E+02,97f1df133f7deffd9bacfc37bc761a4ddea2d715b5e41f1d61b4798d7842f662,201,0.8300000000000001,1,low,0.10958230779225553,inner,1.7967098655296205e-05,1.5233146535001452,0.00014443804124630535,0.12439312040141498,0.2039941764477182,3.665183493342054e-06
nstxuG121123J38/N8/egn08w.2421E+02,97f1df133f7deffd9bacfc37bc761a4ddea2d715b5e41f1d61b4798d7842f662,201,0.8300000000000001,2,high,0.9349336273224784,outer,0.01641258287926206,1.2875375713888086,0.13194124262096546,0.12439312040141498,0.2039941764477182,0.0033480713278349955
nstxuG142301H47/N6/egn06w.2005E+02,15d853ed9032885b1d862d26413e11fbe884f89bac09598b75a356e05ad6c1c7,201,0.11,1,high,0.6120644907914716,outer,0.01427369440729076,2.1240446214349933,0.01526757876349399,0.934902293834587,0.04313471838279305,0.0006156917885405312
nstxuG142301H47/N7/egn07w.2530E+02,f7e1ed3d56acf2f5c311502bc528c3b6ba99d39e303281a7447a5f41bbb195a5,201,0.08,1,high,0.20672015618436348,outer,0.012032450383705484,1.8299891120931195,0.013732120356045076,0.8762266912704874,0.017159704708285026,0.00020647329550147164
nstxuG142301H47/N7/egn07w.2530E+02,f7e1ed3d56acf2f5c311502bc528c3b6ba99d39e303281a7447a5f41bbb195a5,201,0.08,2,high,0.21120531941968781,outer,0.01060034383489239,1.987564246574871,0.012097718479132826,0.8762266912704874,0.017159704708285026,0.00018189877001303974
nstxuG142301H47/N7/egn07w.2530E+02,f7e1ed3d56acf2f5c311502bc528c3b6ba99d39e303281a7447a5f41bbb195a5,201,0.08,3,high,0.4028473081088363,outer,0.0005101042658253174,2.2869260685157586,0.0005821601543382458,0.8762266912704874,0.017159704708285026,8.753238571997799e-06
nstxuG142301H47/N7/egn07w.2530E+02,f7e1ed3d56acf2f5c311502bc528c3b6ba99d39e303281a7447a5f41bbb195a5,201,0.08,4,high,0.4069792851841487,outer,0.0003229121370086352,2.471191387784471,0.00036852579386782643,0.8762266912704874,0.017159704708285026,5.5410769177874215e-06
nstxuG142301H47/N7/egn07w.2530E+02,f7e1ed3d56acf2f5c311502bc528c3b6ba99d39e303281a7447a5f41bbb195a5,201,0.08,5,high,0.4462923166411164,outer,2.830548682708489e-05,1.7180783252080327,3.23038399869368e-05,0.8762266912704874,0.017159704708285026,4.857137955704349e-07
nstxuG142301W29/N10/egn10w.1779E+02,3814aa75da4b28601a250485e03fca28d2cf616646fff073d9b809c2e86097ac,201,0.215,1,low,0.0716466168185727,inner,0.005641638219720458,1.4392448231853132,0.006751433457336468,0.8356207989563984,0.014474067933457114,8.165745484822192e-05
nstxuG142301W29/N10/egn10w.1779E+02,3814aa75da4b28601a250485e03fca28d2cf616646fff073d9b809c2e86097ac,201,0.215,2,low,0.1089593986778544,inner,0.006154488655265494,1.3434016196029355,0.007365169300419277,0.8356207989563984,0.014474067933457114,8.908048689200384e-05
nstxuG142301W29/N10/egn10w.1779E+02,3814aa75da4b28601a250485e03fca28d2cf616646fff073d9b809c2e86097ac,201,0.215,3,low,0.15216330645278617,inner,0.007306201621282149,1.0378403207289206,0.008743441559145988,0.8356207989563984,0.014474067933457114,0.00010575045860197228
nstxuG142301W29/N10/egn10w.1779E+02,3814aa75da4b28601a250485e03fca28d2cf616646fff073d9b809c2e86097ac,201,0.215,4,high,0.7321340466416318,outer,0.09930202153496592,2.1717749597361093,0.118836225305765,0.8356207989563984,0.014474067933457114,0.0014373042056267152
nstxuG142301W29/N8/egn08w.2847E+02,09211acf8c6aa70dc5d4d9f2028da5586d86d0664506c54f88bb6830693a91f1,201,0.1,1,high,0.4329308109241343,outer,0.023910881667954853,2.6273262389909795,0.03189865928716938,0.7495889232426938,0.03125038048689402,0.0007472241499006892
nstxuG142301W29/N8/egn08w.2847E+02,09211acf8c6aa70dc5d4d9f2028da5586d86d0664506c54f88bb6830693a91f1,201,0.1,2,high,0.43785252156239957,outer,0.016492259231729922,2.5904326223735246,0.022001738179888018,0.7495889232426938,0.03125038048689402,0.000515389376080054
nstxuG142301W29/N8/egn08w.2847E+02,09211acf8c6aa70dc5d4d9f2028da5586d86d0664506c54f88bb6830693a91f1,201,0.1,3,high,0.47143914751432375,outer,0.0013316051204840251,1.7405254949067337,0.001776447168834287,0.7495889232426938,0.03125038048689402,4.161316667341908e-05
nstxuG142301W29/N8/egn08w.2847E+02,09211acf8c6aa70dc5d4d9f2028da5586d86d0664506c54f88bb6830693a91f1,201,0.1,4,high,0.4940525446875131,outer,4.0173967084666806e-05,6.990332991221523,5.3594664807579764e-05,0.7495889232426938,0.03125038048689402,1.2554517570669424e-06
nstxuG142301W29/N8/egn08w.2847E+02,09211acf8c6aa70dc5d4d9f2028da5586d86d0664506c54f88bb6830693a91f1,201,0.1,5,high,0.5052632638971989,outer,7.796349702382521e-06,2.643132585094367,1.0400833657807805e-05,0.7495889232426938,0.03125038048689402,2.4363889460977223e-07
nstxu_204202/N6/egn06w.7914E+01,61b9caf323557faabb280a62218ab89d9797a9931292887c2213876e0748f80a,201,0.54,1,low,0.40795643099756707,inner,0.013357943762124291,0.6068028090078287,0.023153613993411277,0.576926943928732,0.1961771382594325,0.0026205231802839814
nstxu_204202/N7/egn07w.3718E+02,b74f4872caf64e1ff7e0c631e1b820c8e5bb174b7d7b4e7f5cf4460c25862c24,201,0.9550000000000001,1,high,0.3580105504398068,inner,0.010725001314129729,0.9357587521315217,0.08210011191120833,0.13063321187343654,0.15016828195412976,0.001610555021298645
nstxu_204202/N8/egn08w.4276E+02,3238a4ca0ad7b4ccbf036b5f55f8f3a0ae95920a95b9dba9c3baa7f4f00937be,201,0.385,1,high,0.4565719715072539,outer,0.10720830886038102,0.8430821078162323,0.1437203975849581,0.7459505446817767,0.049448544178595774,0.005301294796995084
nstxu_204202/N9/egn09w.3737E+02,a5943ed015a38f0d03dbd83265253ce2e34d54d80e139ad26f06b6c26ffbc0fb,201,0.915,1,high,0.4113877138208806,inner,0.006079143345525382,0.6128464172477189,0.05687703332562426,0.10688221572180004,0.33241309441667083,0.002020786850888605
