shot,decision,n_modes,n_complete,minimum,median,maximum,n_margin_0_to_0p1,nearest_gate_counts_json
nstxuE204621A03t030,GOOD,19,19,0.24373066204748084,0.5035521337556625,0.965438836010322,2,"{""BAD_AXIS_SPIKE"": 2, ""BAD_CONT_CROSS_WINDOW"": 3, ""BAD_GRID_SCALE_SPIKE"": 7, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 6, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}"
nstxuE204645A16t015,BAD,85,85,1.0077623525713524,5.0,20.0,0,"{""BAD_AXIS_SPIKE"": 21, ""BAD_CONTINUUM_CROSSING_TAIL"": 8, ""BAD_CONT_CROSS_WINDOW"": 29, ""BAD_EDGE_SPIKE"": 1, ""BAD_GRID_SCALE_PACKET"": 3, ""BAD_GRID_SCALE_SPIKE"": 11, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 3, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 9}"
nstxuE204645A16t015,GOOD,87,87,0.12722852373120408,0.6261648536355187,0.9952959128256044,6,"{""BAD_AXIS_SPIKE"": 4, ""BAD_CONTINUUM_CROSSING_TAIL"": 1, ""BAD_CONT_CROSS_WINDOW"": 2, ""BAD_GRID_SCALE_PACKET"": 1, ""BAD_GRID_SCALE_SPIKE"": 68, ""BAD_INTERIOR_HARMONIC_INCOHERENCE"": 3, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 7, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}"
nstxuE204707A04t030,BAD,174,174,1.050033052460491,6.54476320320685,20.0,0,"{""BAD_AXIS_SPIKE"": 48, ""BAD_CONTINUUM_CROSSING_TAIL"": 4, ""BAD_CONT_CROSS_WINDOW"": 95, ""BAD_EDGE_SPIKE"": 1, ""BAD_GRID_SCALE_PACKET"": 10, ""BAD_GRID_SCALE_SPIKE"": 1, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 1, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 14}"
nstxuE204707A04t030,GOOD,60,60,0.0943760071941401,0.5016353328399107,0.9620084053138905,1,"{""BAD_AXIS_SPIKE"": 3, ""BAD_CONT_CROSS_WINDOW"": 3, ""BAD_GRID_SCALE_SPIKE"": 45, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 7, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 2}"
nstxuE204708F03t017,BAD,70,70,1.173856830148528,5.0,20.0,0,"{""BAD_AXIS_SPIKE"": 12, ""BAD_CONTINUUM_CROSSING_TAIL"": 5, ""BAD_CONT_CROSS_WINDOW"": 30, ""BAD_EDGE_SPIKE"": 1, ""BAD_GRID_SCALE_PACKET"": 2, ""BAD_GRID_SCALE_SPIKE"": 3, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 2, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 15}"
nstxuE204708F03t017,GOOD,90,90,0.09177781512900844,0.5668688396313659,0.9865904213977339,6,"{""BAD_AXIS_SPIKE"": 2, ""BAD_CONTINUUM_CROSSING_TAIL"": 1, ""BAD_CONT_CROSS_WINDOW"": 1, ""BAD_GRID_SCALE_SPIKE"": 83, ""BAD_INTERIOR_UNRESOLVED_ENVELOPE"": 2, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}"
nstxuE204944A01t017,BAD,51,51,1.0163663777874459,6.091002096158568,20.0,0,"{""BAD_AXIS_SPIKE"": 5, ""BAD_CONTINUUM_CROSSING_TAIL"": 6, ""BAD_CONT_CROSS_WINDOW"": 18, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 22}"
nstxuE204944A01t017,GOOD,26,26,0.29010434708528116,0.5645038416870023,0.975738289717149,1,"{""BAD_AXIS_SPIKE"": 4, ""BAD_CONT_CROSS_WINDOW"": 1, ""BAD_GRID_SCALE_SPIKE"": 18, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 3}"
nstxuE204954A01t022,BAD,90,90,1.2531493666498372,5.76025022154217,20.0,0,"{""BAD_AXIS_SPIKE"": 27, ""BAD_CONTINUUM_CROSSING_TAIL"": 1, ""BAD_CONT_CROSS_WINDOW"": 29, ""BAD_GRID_SCALE_PACKET"": 2, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 31}"
