shot,shot_family,size_bin,input_modes,E_series,stratum_rank
nstxuE205059A01t020,NSTX-U E,high,871,205059,16
nstxuG133964R06,NSTX-U G,medium,610,,1
nstxuG142301C50,NSTX-U G,medium,611,,2
nstxuG142301B37,NSTX-U G,medium,699,,3
nstxuG142301Q91,NSTX-U G,medium,460,,4
nstxuG142301E55,NSTX-U G,medium,573,,5
nstxuG142301F66,NSTX-U G,medium,628,,6
nstxuG121123N75,NSTX-U G,medium,768,,7
nstxuG142301S39,NSTX-U G,medium,684,,8
nstxuG142301K79,NSTX-U G,medium,599,,9
nstxuG142301F62,NSTX-U G,medium,753,,10
nstxuG142301E34,NSTX-U G,medium,741,,11
nstxuG142301L94,NSTX-U G,high,958,,1
nstxuG142301M21,NSTX-U G,high,1173,,2
nstxuG142301U84,NSTX-U G,high,1101,,3
nstxuG133964U37,NSTX-U G,high,868,,4
nstxuG142301E77,NSTX-U G,high,834,,5
nstxuG142301S94,NSTX-U G,high,860,,6
nstxuG133964U27,NSTX-U G,high,1024,,7
nstxuG142301U85,NSTX-U G,high,976,,8
nstxuG142301F83,NSTX-U G,high,827,,9
nstxuG133964R48,NSTX-U G,high,1049,,10
nstxuG142301M32,NSTX-U G,high,815,,11
nstxuG121123N22,NSTX-U G,high,960,,12
nstxuG142301L89,NSTX-U G,high,1037,,13
nstxuG121123R42,NSTX-U G,high,1360,,14
nstxuG142301B85,NSTX-U G,high,813,,15
