model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,217,131,1,27,58,0.8709677419354839,0.9830508474576272,0.6823529411764706,0.8055555555555557
cnn,217,127,5,8,77,0.9400921658986175,0.9390243902439024,0.9058823529411765,0.9221556886227545
combined_policy,217,131,1,18,67,0.9124423963133641,0.9852941176470589,0.788235294117647,0.8758169934640523
