shot,nstx_141711
n_total_files,679
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,267
n_mixed,22
n_eae_like,390
n_sent_to_classifiers,289
n_gold_good,53
n_silver_good,9
n_good_before_clustering,70
n_final_good,69
n_final_bad,219
n_flagged,28
fraction_good,0.23875432525951557
fraction_flagged,0.09688581314878893
rf_cnn_agreement_fraction,0.9446366782006921
mean_p_rf_good,0.2648212226066897
mean_p_cnn_good,0.24807811747373157
median_p_rf_good,0.07
median_p_cnn_good,4.068607411331632e-31
mode_clusters_removed,1
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
