model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,217,130,2,17,68,0.9124423963133641,0.9714285714285714,0.8,0.8774193548387097
cnn,217,126,6,10,75,0.9262672811059908,0.9259259259259259,0.8823529411764706,0.9036144578313252
combined_policy,217,129,3,15,70,0.9170506912442397,0.958904109589041,0.8235294117647058,0.8860759493670886
