model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,208,173,6,7,22,0.9375,0.7857142857142857,0.7586206896551724,0.7719298245614034
cnn,208,169,10,15,14,0.8798076923076923,0.5833333333333334,0.4827586206896552,0.5283018867924529
combined_policy,208,171,8,7,22,0.9278846153846154,0.7333333333333333,0.7586206896551724,0.7457627118644068
