model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,275,199,1,12,63,0.9527272727272728,0.984375,0.84,0.9064748201438849
cnn,275,195,5,11,64,0.9418181818181818,0.927536231884058,0.8533333333333334,0.888888888888889
combined_policy,275,199,1,12,63,0.9527272727272728,0.984375,0.84,0.9064748201438849
