model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,293,213,6,17,57,0.9215017064846417,0.9047619047619048,0.7702702702702703,0.832116788321168
cnn,293,210,9,9,65,0.9385665529010239,0.8783783783783784,0.8783783783783784,0.8783783783783784
combined_policy,293,213,6,14,60,0.931740614334471,0.9090909090909091,0.8108108108108109,0.8571428571428571
