shot,mode_key,input_fingerprint,old_decision,v5_decision,old_reason,v5_reason,rf_cnn_decision,old_selected_final,v5_selected_final
nstxuE202806A02t025,nstxuE202806A02t025/N8/egn08w.1718E+02,6eb6c60ebe942ca9d25e2e0de2c2bc85fdb5147b35411fe0c10be72f64ee027b,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,True,
nstxuE203609A01t020,nstxuE203609A01t020/N8/egn08w.5439E+01,54ce246f91ed2e209c268d4f694c8393e9a9da4493ef8c22a65953fb99855d19,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
nstxuE203609A01t020,nstxuE203609A01t020/N8/egn08w.5685E+01,aa97bcf71ef7b474ac1745e23d9081d4cfdddd226d72cda07af95278f1f355fe,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
nstxuE203963A01t025,nstxuE203963A01t025/N7/egn07w.4312E+01,6d8a6dc4faa0c415b26ef3195a8ee7f05ffa37c87c5881a0f93ca890edf9f6b9,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,True,
nstxuE203963A01t025,nstxuE203963A01t025/N8/egn08w.4541E+01,3ea1cd5e73ff3a87defda23430d09445130b935f37ad8bffa139254a9a56480e,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,True,
nstxuE203963A01t025,nstxuE203963A01t025/N9/egn09w.4623E+01,0a08f43bbaaaf37bf9e9fd493f4b5b220a5e37967b73fda22ea3d754a3cf013e,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
nstxuE203963A01t025,nstxuE203963A01t025/N10/egn10w.4539E+01,2ac9f9444b8c6c1a086499f15606e68f9d470841d067440fe3da01325591a196,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,True,
nstxuE204707A04t030,nstxuE204707A04t030/N9/egn09w.2567E+02,918e8133c7283a6f2821c7ac9414dec79134492c8b4b6c6c367778f16e539856,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,BAD,True,
nstxuE204707A04t030,nstxuE204707A04t030/N9/egn09w.3552E+02,8b4ebf63ea5b8e21e6ddbaabb57becdcceab0a1fbb2e1b3611be1c98e1bb7098,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,BAD,True,
nstxuE204954A01t022,nstxuE204954A01t022/N10/egn10w.1050E+02,f99c2ec8e2a6f0a9ae626ff300dabfbfa4f11314ed24825cb24e5908ed5db6c9,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
