shot,mode_key,input_fingerprint,old_decision,v5_decision,old_reason,v5_reason,rf_cnn_decision,old_selected_final,v5_selected_final
nstxuE203609A01t020,nstxuE203609A01t020/N8/egn08w.5439E+01,54ce246f91ed2e209c268d4f694c8393e9a9da4493ef8c22a65953fb99855d19,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
nstxuE203609A01t020,nstxuE203609A01t020/N8/egn08w.5685E+01,aa97bcf71ef7b474ac1745e23d9081d4cfdddd226d72cda07af95278f1f355fe,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
nstxuE203609A01t020,nstxuE203609A01t020/N10/egn10w.4899E+01,21b401662960722cd0653b28e389c3c32943da8b5e5d921b381e0f0ffa853adc,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE203609A01t020,nstxuE203609A01t020/N10/egn10w.7894E+01,e2ba65cda785908781727dfa39fd90ec2786324460f44b51e7ca334e9f5ea7d2,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE203963A01t025,nstxuE203963A01t025/N2/egn02w.4449E+01,beb3fa0709eae4dd8b0ca6d15f3f519059386c343564f5e06df0aea42f5eaf45,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE203963A01t025,nstxuE203963A01t025/N5/egn05w.4440E+01,8a092a52cdb54d567530170bf3ed1745d8df924b32fbe16c71d24286a8aaef3d,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE203963A01t025,nstxuE203963A01t025/N6/egn06w.4492E+01,77f1a526c55d3a5d6bf280864a58ee5b4badda743853260affc27784f913108f,BAD,BAD,BAD_AXIS_SPIKE,BAD_AXIS_SPIKE,GOOD,,
nstxuE203963A01t025,nstxuE203963A01t025/N6/egn06w.4648E+01,ea86a3f416307f5a87bbc6f31fe205386672b9178c1fe122ffbf4ec4db1b2caa,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE203963A01t025,nstxuE203963A01t025/N6/egn06w.7633E+01,08887cd33b0c75b692af183a4796bb1e08a512ee6e3218a4b7abd5f335a44011,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE203963A01t025,nstxuE203963A01t025/N7/egn07w.7672E+01,5edc283ac6620fafe5b566a5b8854ff7ddccc8f52e6ce6c1cf00fcf7d598a120,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE203963A01t025,nstxuE203963A01t025/N8/egn08w.9371E+01,f1d556c8327db69de5c960238d21dcd0a574836a8414b0f2dfcf9c31db29c0e0,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_CONT_CROSS_WINDOW,GOOD,,
nstxuE203963A01t025,nstxuE203963A01t025/N9/egn09w.4623E+01,0a08f43bbaaaf37bf9e9fd493f4b5b220a5e37967b73fda22ea3d754a3cf013e,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,True,
