shot,mode_key,input_fingerprint,old_decision,v5_decision,old_reason,v5_reason,rf_cnn_decision,old_selected_final,v5_selected_final
nstxuE205045A01t022,nstxuE205045A01t022/N7/egn07w.9969E+01,d220305cfd39b40dfd12c9e3aba131eadb4df0dbd5fef3ec79070833790d1aa3,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205045A01t022,nstxuE205045A01t022/N7/egn07w.4458E+02,6e15355a98345169435f4aff19b603f47669c7b9bc5d9a1708559d60fdb92f09,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,BAD,True,
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.9086E+01,758aba80adf9a356e55e04945348013f8c10978f883ec97d5e1b5b1ee612c9fa,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.1045E+02,2710ea18db3f2a8a135362e5c8506c16f862770b3fc939ecae719339688da9f7,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.1063E+02,fa347750820a72393a94e900f6a9a38537c67f1445b0ed552e3ac03dd2888c0d,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.1225E+02,db3defdfd5e730fb7a4930259d8b9c45ed73420aa06c621cc433933782584043,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.1372E+02,1c7729c5fa2ea005d2e855c38afe1e048f17ce78cf06a72e516787d3aba38921,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.4007E+02,a494b78ca19304a976a250a7aeb6d2dee6f5d51a67af3dd9177931bd20b4f990,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,BAD,True,
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.4550E+02,327b25e9ca10106ac16616c42b91644cd2de167f9c8cdf27f818d963b64fc0e3,GOOD,BAD,NO_GOOD_TEMPLATE,BAD_CONTINUUM_CROSSING_TAIL,BAD,True,
nstxuE205045A01t022,nstxuE205045A01t022/N9/egn09w.1534E+02,0dd62813d4898659b4f76cdf2a935be6ea5081e98c189fc1c965f77bb31423ed,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_NEAR_AXIS_GRID_OSCILLATION,BAD,,
