model,n_folds,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
cnn,7,1638,1042,50,65,481,0.9297924297924298,0.9058380414312618,0.8809523809523809,0.89322191272052
combined_policy,7,1638,1059,33,78,468,0.9322344322344323,0.9341317365269461,0.8571428571428571,0.8939828080229226
rf,7,1638,1064,28,98,448,0.9230769230769231,0.9411764705882353,0.8205128205128205,0.8767123287671232
