model,n_folds,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
cnn,13,2610,1908,96,90,516,0.9287356321839081,0.8431372549019608,0.8514851485148515,0.8472906403940887
combined_policy,13,2610,1948,56,112,494,0.9356321839080459,0.8981818181818182,0.8151815181518152,0.8546712802768166
rf,13,2610,1957,47,134,472,0.9306513409961685,0.9094412331406551,0.7788778877887789,0.8391111111111111
