model,n_folds,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
cnn,6,972,866,46,25,35,0.926954732510288,0.43209876543209874,0.5833333333333334,0.4964539007092198
combined_policy,6,972,889,23,34,26,0.941358024691358,0.5306122448979592,0.43333333333333335,0.47706422018348627
rf,6,972,893,19,36,24,0.9434156378600823,0.5581395348837209,0.4,0.4660194174757281
