path,label,cohort,mode_key,training_label,baseline_decision,baseline_reason,input_fingerprint,status,error,r_start,r_end,n_qualifying,hf_total_fraction,hf_top2_ratio,hf_window_fraction,effective_length,fires,minimum_cut_ratio,candidate,n_firing_windows,n_scanned_windows,native_dr,actual_window_dr,nr,nhar,global_reference,top2_energy_share,top2_harmonic_indices,candidate_total_reference,gap_region,shot,baseline_config
nstxuE204707A04t030/N9/egn09w.1251E+02,bad,pilot,nstxuE204707A04t030/N9/egn09w.1251E+02,,BAD,BAD_EDGE_SPIKE,e8bdcc7077e1ee7b2e8d38833ec34730c0a7b37aa4d58ce7401df726988010ba,MEASURED,,0.935,0.985,9,0.04796462902035645,0.7109442096657757,0.11126179364767318,0.0357715145724262,True,1.1923838190808733,True,5,191,0.005,0.05,201,120,top2,0.06746609420014162,"[19, 18]",True,tae_like,nstxuE204707A04t030,tae_rules_production_v11
nstxuE204707A04t030/N9/egn09w.2567E+02,bad,pilot,nstxuE204707A04t030/N9/egn09w.2567E+02,,BAD,BAD_CONTINUUM_CROSSING_TAIL,918e8133c7283a6f2821c7ac9414dec79134492c8b4b6c6c367778f16e539856,MEASURED,,0.935,0.985,9,0.0010771037309698916,0.010442808332327863,0.060569785493226065,0.03746295323214189,True,1.2113957098645212,True,3,191,0.005,0.05,201,120,top2,0.1031431102336232,"[37, 39]",False,tae_like,nstxuE204707A04t030,tae_rules_production_v11
nstxuE205042A01t022/N10/egn10w.2553E+01,bad,pilot,nstxuE205042A01t022/N10/egn10w.2553E+01,,BAD,BAD_GRID_SCALE_SPIKE,d29a8132382d6f2da93755b4255f7846c0295226e232ab3db51b57cbb6673d12,MEASURED,,0.055,0.105,9,0.1600268176235525,0.8916718229266827,0.1700786365859064,0.03717753761378091,True,1.2392512537926972,True,5,191,0.005,0.05,201,98,top2,0.1794682903608031,"[58, 33]",True,tae_like,nstxuE205042A01t022,tae_rules_production_v11
nstxuE205042A01t022/N10/egn10w.3073E+01,bad,pilot,nstxuE205042A01t022/N10/egn10w.3073E+01,,BAD,BAD_GRID_SCALE_SPIKE,14e13bbcb9dd42b670eea5a4d90d53585e7d8d092ac2be144c0d39fda228bde4,MEASURED,,0.045,0.095,9,0.021942204372293297,0.0335106584611008,0.1462140018643016,0.03270993099169816,True,1.0903310330566054,True,2,191,0.005,0.05,201,98,top2,0.6547828476054514,"[33, 32]",True,tae_like,nstxuE205042A01t022,tae_rules_production_v11
nstxuE205042A01t022/N10/egn10w.3470E+01,good,pilot,nstxuE205042A01t022/N10/egn10w.3470E+01,,GOOD,NO_GOOD_TEMPLATE,4ae64e472b05e560dd3952293c842428f9a8cad3870fd6928a84c133c5464a8e,MEASURED,,0.065,0.115,9,0.009488307702509457,0.010898758600635022,0.07491066484739875,0.03882029593229855,True,1.2940098644099516,True,2,191,0.005,0.05,201,98,top2,0.8705860961042493,"[33, 32]",True,tae_like,nstxuE205042A01t022,tae_rules_production_v11
nstxuE205045A01t022/N6/egn06w.2693E+02,bad,pilot,nstxuE205045A01t022/N6/egn06w.2693E+02,,BAD,BAD_GRID_SCALE_SPIKE,06c59b41fe66d7d2802b8a63cdf075591546a5cd0c7940ed78f51fdbccc37071,MEASURED,,0.9450000000000001,0.995,9,0.005361575371507206,0.02474608769760781,0.18576648918112584,0.038864945014499996,True,1.2954981671499999,True,4,191,0.005,0.05,201,120,top2,0.21666355655991254,"[26, 25]",True,tae_like,nstxuE205045A01t022,tae_rules_production_v11
nstxuE205045A01t022/N7/egn07w.4458E+02,bad,pilot,nstxuE205045A01t022/N7/egn07w.4458E+02,,BAD,BAD_CONTINUUM_CROSSING_TAIL,6e15355a98345169435f4aff19b603f47669c7b9bc5d9a1708559d60fdb92f09,MEASURED,,0.925,0.975,9,0.0012715635735605798,0.00823407456669735,0.1206956654053777,0.03421153621236044,True,1.1403845404120148,True,4,191,0.005,0.05,201,139,top2,0.15442701705707265,"[36, 35]",False,tae_like,nstxuE205045A01t022,tae_rules_production_v11
nstxuE205045A01t022/N7/egn07w.4875E+02,bad,pilot,nstxuE205045A01t022/N7/egn07w.4875E+02,,BAD,BAD_AXIS_SPIKE,f8c5575d7057cb3f94995610c4d3f437a1f88307c5b0c35cf6f75a280b72b217,MEASURED,,0.93,0.98,9,0.025114750056811914,0.1754940783134306,0.14187157260904226,0.03011358692691356,True,1.0037862308971188,True,1,191,0.005,0.05,201,139,top2,0.14310881767735334,"[40, 38]",True,tae_like,nstxuE205045A01t022,tae_rules_production_v11
nstxuE205045A01t022/N10/egn10w.7223E+02,bad,pilot,nstxuE205045A01t022/N10/egn10w.7223E+02,,BAD,BAD_CONT_CROSS_WINDOW,00b98b0001b904a480ac8326e72a7b238bf02eb55c982fb58fffa759c3f5c744,MEASURED,,0.9500000000000001,1.0,9,0.0007272129637289552,0.005819798122530438,0.20538913224836267,0.037962150562287675,True,1.1639596245060877,True,2,191,0.005,0.05,201,197,top2,0.12495501534901425,"[56, 73]",False,tae_like,nstxuE205045A01t022,tae_rules_production_v11
nstxuE205054A01t037/N9/egn09w.9253E+01,bad,pilot,nstxuE205054A01t037/N9/egn09w.9253E+01,,BAD,BAD_AXIS_SPIKE,6327cbe16a9f3ad6b5e4963b58ab94cf2c451e94524a6fa8b73500962ddff7c6,MEASURED,,0.035,0.085,7,0.19377063827171284,0.5253238061401889,0.21465895597246196,0.030189155450917285,True,1.0063051816972428,True,2,191,0.005,0.05,201,103,top2,0.3688594272843649,"[13, 15]",True,tae_like,nstxuE205054A01t037,tae_rules_production_v11
nstxuE205054A01t037/N9/egn09w.9543E+01,bad,pilot,nstxuE205054A01t037/N9/egn09w.9543E+01,,BAD,BAD_GRID_SCALE_SPIKE,9c9ed84af4c5737b7cea79bd3be881eed58a9eee233c1c35c7eb9cf66d4b825e,MEASURED,,0.035,0.085,8,0.1789803798420359,0.3964770801117469,0.18906434191067417,0.03017119639077852,True,1.005706546359284,True,1,191,0.005,0.05,201,103,top2,0.4514268007411434,"[13, 17]",True,tae_like,nstxuE205054A01t037,tae_rules_production_v11
nstxuE205054A01t037/N9/egn09w.9924E+01,bad,pilot,nstxuE205054A01t037/N9/egn09w.9924E+01,,BAD,BAD_AXIS_SPIKE,d7894766030040b222d352dc7f79bc3614b012e2c6a9498d60000b510cb4ae98,MEASURED,,0.03,0.08,8,0.1935527082466342,0.8693489018626592,0.24125820732011155,0.03533485784777703,True,1.177828594925901,True,4,191,0.005,0.05,201,103,top2,0.222640999294909,"[13, 11]",True,tae_like,nstxuE205054A01t037,tae_rules_production_v11
nstxuG121123K34/N3/egn03w.3563E+02,bad,pilot,nstxuG121123K34/N3/egn03w.3563E+02,,BAD,BAD_CONT_CROSS_WINDOW,7fd4458249635e8a2fccdfb7f699cd6d860d62e761d7db037f3ee70e20e93b19,MEASURED,,0.915,0.965,9,0.006177797321539622,0.03600356076424596,0.06907365963864719,0.04169440389652579,True,1.3814731927729436,True,7,191,0.005,0.05,201,67,top2,0.17158850931418437,"[7, 6]",True,tae_like,nstxuG121123K34,tae_rules_production_v11
nstxuG121123K34/N3/egn03w.3724E+02,bad,pilot,nstxuG121123K34/N3/egn03w.3724E+02,,BAD,BAD_GRID_SCALE_SPIKE,9fce4bb019c42fec96d4a72c9836f0464d78dfd210f18a6533e7a5acd0dab3cb,MEASURED,,0.92,0.97,9,0.0033841168798403438,0.02241047330059184,0.06889189813074949,0.042023646067112674,True,1.3778379626149897,True,7,191,0.005,0.05,201,67,top2,0.1510060423289218,"[9, 8]",False,mixed,nstxuG121123K34,tae_rules_production_v11
nstxuG121123K34/N3/egn03w.5429E+02,bad,pilot,nstxuG121123K34/N3/egn03w.5429E+02,,BAD,BAD_AXIS_SPIKE,5b69cff92461751f52ccde8daabbd23099666b529525cfa8eae42fdcb43c6ba6,MEASURED,,0.55,0.6,9,0.0070619992523204365,0.09704073996524029,0.07526511950369544,0.044059742668830795,True,1.4686580889610266,True,91,191,0.005,0.05,201,67,top2,0.07277355113790378,"[48, 23]",True,tae_like,nstxuG121123K34,tae_rules_production_v11
