shot,n,nr,input_modes,datcon_sha256,changed_last,onset,changed_mean
nstxuE204186A01t020,2,201,77,2e389bbce34532ad93232a0073a7647c2827b582aae9e852b51fda8391906b57,False,,False
nstxuE204186A01t020,3,201,79,c137dd76d4c3feed105608316b580482d7ae71b79c4787a96a6b0ad1a26a1c06,False,,False
nstxuE204186A01t020,4,201,60,6a66b901a6f21bbb51ce0fcdaef1852d8c318fed26576606bdda74b9f931830c,False,,False
nstxuE204186A01t020,5,201,86,af64ec505ad69e06cae895f596761ba2f720b8bda8ba53159a5b3f7092be97d6,False,,False
nstxuE204186A01t020,6,201,110,b69ac61d163f47740144d4d0a210f4ab2ecf9589baab46a8a4a8f727c46095f3,False,,False
nstxuE204186A01t020,7,201,91,34e692e74c354c401008133ca64363cbc3f57ae883dbfb61d5ed0581b617d3de,False,,False
nstxuE204186A01t020,8,201,113,b3fe79831b324a142ca1896c09a680962fd1ec9d0e5bc346685ca19142f13fab,False,,False
nstxuE204186A01t020,9,201,194,450f97dc3a6272975d145748d73409931da95a93eb135f73278f6bdc0f4e42ee,True,0.98,True
nstxuE204186A01t020,10,201,149,5c9d102016c11ce27ed70ac9246dce304bbc3d5fe5cf10c08625219b4a7db245,True,0.965,True
nstxuE204621A03t030,1,201,74,9028c6a47cee83b742d7dac6ad7e157b7c3a786123651d6ab642bafd82707a07,False,,False
nstxuE204621A03t030,2,201,54,247c805b6954fd5356e31e963f5228da140661de5cd77a22dba614b2b26f504b,False,,False
nstxuE204621A03t030,3,201,69,65f232ab6271a52fc131b21183508a61ea311df710ee11df08484f4dd08f4366,False,,False
nstxuE204621A03t030,4,201,38,f7df8664a3adb1483d9d17085d880f1204149166a4a66efbafd3b4fc8af48f65,False,,False
nstxuE204621A03t030,5,201,120,44b82e8e26014063a7eaf77bf2d7c6cb63bd0f34866337a532096aa4691f8321,False,,False
nstxuE204621A03t030,6,201,120,588337ddd63d08233f9c994fbe81d935ea54b8b5e3ab11ed53559d268ab05e37,False,,False
nstxuE204621A03t030,7,201,105,910664453be53ab801248c12898bd5e5f9854276762d7dd5521b33b0bf9c8e0a,False,,False
nstxuE204621A03t030,8,201,156,740fd38d93cb1729873c14fc5cc603a63d1f406b7bb3a40a61fde26808e27101,False,,False
nstxuE204621A03t030,9,201,165,30b843f5e673390dda7f1f822fa6d8a5ffb8d41ff72cc17cf9ddca0a300ccdf0,False,,False
nstxuE204621A03t030,10,201,149,7830b5554309fce1591d6a6c83e53c8c927a0272482b8d05b001447472fc32bb,False,,False
nstxuE204645A16t015,1,201,15,71c3ae5c01f3b1c4985d82f3620d2176e99fb89f1b478a9d8477f508b7696485,False,,False
nstxuE204645A16t015,2,201,16,fe1411f8e104bd5a79edb810f42048020dc8b2e76dfcbe65985f53397c58cf0d,False,,False
nstxuE204645A16t015,3,201,47,0a61be00b97eb6434bd2c1c17bdec866af39cdfbef76530dad37d9796d671349,False,,False
nstxuE204645A16t015,4,201,50,99517831f49bd201bc2b36a2559d422703c0a5ae00473408d24626c5c500e144,False,,False
nstxuE204645A16t015,5,201,52,7fc64edc407829f2140c6274fa0ddfb5086276fbf88f87036eb30ab51729dc23,False,,False
nstxuE204645A16t015,6,201,57,fcf29e48a24afe7dc5db7fa8b0165fe520d9d854c6c8d73ba674aba86527458a,False,,False
nstxuE204645A16t015,7,201,76,3aa3aba971e0b401308962944bb83f0b1dd77e9bd8f8af59b501288c60f5a641,True,0.985,True
nstxuE204645A16t015,8,201,80,54674f28d90c101c7c9863d4b162e21fd429cc03d11361663b30d1ba872c0321,True,0.945,True
nstxuE204645A16t015,9,201,58,d1de420ecd14691378b50d3677530945ec0037565b4446ffdf204f214628b157,True,0.91,True
nstxuE204645A16t015,10,201,84,035de941cc9bf4c163c9b9cada9cfd9db7a69145f1aa34520c654ad27c6c0c0e,True,0.875,True
