mode_key,shot,n,scenario,input_fingerprint,onset,before_gap_region,before_decision,before_reason,before_signed_delta,before_fraction_below_upper2,after_gap_region,after_decision,after_reason,after_signed_delta,after_fraction_below_upper2
nstxuE203262A04t018/N9/egn09w.4938E+01,nstxuE203262A04t018,9,last,c6de0026acbb86085b5e97fb256b25cc3cbe8727f96f0375e4d2446dfa4e0734,0.965,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.8974932243265535,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9653137564860996,1.0
nstxuE203262A04t018/N9/egn09w.4938E+01,nstxuE203262A04t018,9,mean,c6de0026acbb86085b5e97fb256b25cc3cbe8727f96f0375e4d2446dfa4e0734,0.965,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.8974932243265535,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9659885896967545,1.0
nstxuE203262A04t018/N10/egn10w.6623E+01,nstxuE203262A04t018,10,last,808f10bc348d37f80692580cd92b1f0d2cbe124e2ba413ea39b51814f8784471,0.95,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.6262360029389307,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8053049371784532,1.0
nstxuE203262A04t018/N10/egn10w.6623E+01,nstxuE203262A04t018,10,mean,808f10bc348d37f80692580cd92b1f0d2cbe124e2ba413ea39b51814f8784471,0.95,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.6262360029389307,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.8068646537092845,1.0
nstxuE204645A16t015/N7/egn07w.6025E+01,nstxuE204645A16t015,7,last,01705e1b0b55f053285c03d1c62889be3c241f1e19ee0da577828a5fa7b94de3,0.985,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9510460510844618,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9682118013556495,1.0
nstxuE204645A16t015/N7/egn07w.6025E+01,nstxuE204645A16t015,7,mean,01705e1b0b55f053285c03d1c62889be3c241f1e19ee0da577828a5fa7b94de3,0.985,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9510460510844618,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9697335513109135,1.0
nstxuE204645A16t015/N8/egn08w.5187E+01,nstxuE204645A16t015,8,last,372e142b4cfab69cc7ebf16eb24d765d726e1aa3fb70baed6e401ebfed940ba1,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9586623292281218,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9844643943608535,1.0
nstxuE204645A16t015/N8/egn08w.5187E+01,nstxuE204645A16t015,8,mean,372e142b4cfab69cc7ebf16eb24d765d726e1aa3fb70baed6e401ebfed940ba1,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9586623292281218,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9854397712252504,1.0
nstxuE204645A16t015/N8/egn08w.5625E+01,nstxuE204645A16t015,8,last,4b1c6c1f70b4945e576bbffdd8a217b014298edffeb90eac0188885331e3cd0d,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9205285502570213,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.977987631081956,1.0
nstxuE204645A16t015/N8/egn08w.5625E+01,nstxuE204645A16t015,8,mean,4b1c6c1f70b4945e576bbffdd8a217b014298edffeb90eac0188885331e3cd0d,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9205285502570213,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9802347842374167,1.0
nstxuE204645A16t015/N8/egn08w.5775E+01,nstxuE204645A16t015,8,last,6fb1c8323fa7c9eda432f3cb6e7d5136d23add3685f58d4430981c93f34f6783,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9104322761175815,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9681809462353743,1.0
nstxuE204645A16t015/N8/egn08w.5775E+01,nstxuE204645A16t015,8,mean,6fb1c8323fa7c9eda432f3cb6e7d5136d23add3685f58d4430981c93f34f6783,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.9104322761175815,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.9709073989166591,1.0
nstxuE204645A16t015/N8/egn08w.5971E+01,nstxuE204645A16t015,8,last,da8ee201b74dca375b2a3eebaf5600d74b339cd2a9893dd39e1d0f31b042fe3a,0.945,tae_like,BAD,BAD_CONT_CROSS_WINDOW,0.856309266647462,1.0,tae_like,REVIEW,NO_GOOD_TEMPLATE,0.95036524004428,1.0
