model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,241,224,4,12,1,0.9336099585062241,0.2,0.07692307692307693,0.1111111111111111
cnn,241,211,17,1,12,0.9253112033195021,0.41379310344827586,0.9230769230769231,0.5714285714285715
combined_policy,241,224,4,11,2,0.9377593360995851,0.3333333333333333,0.15384615384615385,0.21052631578947367
