model,n_folds,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
cnn,10,2125,1402,74,67,582,0.9336470588235294,0.8871951219512195,0.8967642526964561,0.8919540229885058
combined_policy,10,2125,1418,58,86,563,0.932235294117647,0.9066022544283414,0.8674884437596302,0.8866141732283465
rf,10,2125,1426,50,99,550,0.9298823529411765,0.9166666666666666,0.847457627118644,0.8807045636509208
