model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,208,177,2,13,16,0.9278846153846154,0.8888888888888888,0.5517241379310345,0.6808510638297872
cnn,208,178,1,19,10,0.9038461538461539,0.9090909090909091,0.3448275862068966,0.5000000000000001
combined_policy,208,177,2,13,16,0.9278846153846154,0.8888888888888888,0.5517241379310345,0.6808510638297872
