model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,293,213,6,17,57,0.9215017064846417,0.9047619047619048,0.7702702702702703,0.832116788321168
cnn,293,209,10,18,56,0.9044368600682594,0.8484848484848485,0.7567567567567568,0.8000000000000002
combined_policy,293,213,6,15,59,0.9283276450511946,0.9076923076923077,0.7972972972972973,0.8489208633093526
