path,shot,role,n,omega,gamma_d,validity,family,gap_region,signed_delta,fraction_below_upper2,r_peak,ext_kind,r_ext,ext_dr,ext_df_gap,ext_energy_frac,ext_prom_rel,n_cross,n_near_cross,n_secondary_cross,max_cross_W_all,max_cross_W_near,max_cross_W_secondary,max_cross_W_outer,geometry_3pct,localized_gap_side_4pct,robust_secondary_W_lt_0p001,robust_secondary_W_lt_0p01,robust_secondary_W_lt_0p05,secondary_crossings,all_crossings
nstxuG121123B12/N9/egn09w.2255E+02,nstxuG121123B12,candidate,9,4.748653180771367,-1.5916664631610987e-08,,,below_upper2,0.994503241203615,0.9999998074688576,0.105,lower_max,0.11,0.0050000000000000044,0.003444743149594544,0.9976988810251511,0.13049359719915735,1,0,1,1.5457486765893544e-08,0.0,1.5457486765893544e-08,1.5457486765893544e-08,True,True,True,True,True,high@0.8805:W=1.54575e-08,high@0.8805:W=1.54575e-08
nstxuG121123B12/N9/egn09w.2347E+02,nstxuG121123B12,candidate,9,4.8447001402577206,-1.1123540595508067e-07,,,below_upper2,0.9771655808406766,0.9999984312352405,0.11,lower_max,0.11,0.0,0.023201611399345914,0.9674912396930844,0.12790654064652018,1,0,1,1.8379440373784033e-07,0.0,1.8379440373784033e-07,1.8379440373784033e-07,True,True,True,True,True,high@0.8722:W=1.83794e-07,high@0.8722:W=1.83794e-07
nstxuG121123B12/N9/egn09w.2884E+02,nstxuG121123B12,candidate,9,5.370238672964665,-0.0029716376448078396,,,below_upper2,0.8205729122606535,0.9964763805819796,0.215,upper_min,0.215,0.0,0.027968120064357824,0.5676808861886644,0.11047284983414957,1,0,1,0.003288695809261722,0.0,0.003288695809261722,0.003288695809261722,True,True,False,True,True,high@0.8303:W=0.0032887,high@0.8303:W=0.0032887
nstxuG121123B12/N9/egn09w.2912E+02,nstxuG121123B12,candidate,9,5.395989655156192,-6.507389201028112e-08,,,below_upper2,0.7238097056262858,0.999991782729483,0.11,upper_min,0.11,0.0,0.011668408520047375,0.9702025503387683,0.13371486850153708,1,0,1,1.901982848634826e-06,0.0,1.901982848634826e-06,1.901982848634826e-06,True,True,True,True,True,high@0.8287:W=1.90198e-06,high@0.8287:W=1.90198e-06
nstxuG121123B12/N10/egn10w.1503E+02,nstxuG121123B12,candidate,10,3.8774736109506174,-1.3208124241589202e-06,,,below_upper2,0.9998009177397003,0.9999966537950743,0.3,lower_max,0.3,0.0,0.003134951016487658,0.9925074980662258,0.06312409308530385,2,0,2,0.00010394149230945221,0.0,0.00010394149230945221,6.762453560219248e-07,True,True,True,True,True,low@0.2011:W=0.000103941;high@0.9601:W=6.76245e-07,low@0.2011:W=0.000103941;high@0.9601:W=6.76245e-07
nstxuG121123B12/N10/egn10w.1550E+02,nstxuG121123B12,candidate,10,3.9374158042376632,-7.968296312028948e-05,,,below_upper2,0.9974590806511867,0.9999998600842201,0.3,lower_max,0.3,0.0,0.018310965036383475,0.7729750352167901,0.0621631083234922,4,0,4,0.005630753569306883,0.0,0.005630753569306883,1.4746644042480342e-07,True,True,False,True,True,low@0.1224:W=1.91798e-05;low@0.1401:W=1.13304e-05;low@0.1973:W=0.00563075;high@0.9568:W=1.47466e-07,low@0.1224:W=1.91798e-05;low@0.1401:W=1.13304e-05;low@0.1973:W=0.00563075;high@0.9568:W=1.47466e-07
nstxuG121123B12/N10/egn10w.1909E+02,nstxuG121123B12,candidate,10,4.369328443182994,-4.3477439688723745e-07,,,below_upper2,0.995821202648326,0.9999999699028838,0.165,lower_max,0.17,0.0050000000000000044,0.0019300844238754424,0.9891502865024946,0.09674460462037536,3,0,3,0.0030255177123047513,0.0,0.0030255177123047513,3.81431363456438e-09,True,True,False,True,True,low@0.0632:W=2.9877e-05;low@0.1038:W=0.00302552;high@0.9163:W=3.81431e-09,low@0.0632:W=2.9877e-05;low@0.1038:W=0.00302552;high@0.9163:W=3.81431e-09
nstxuG121123B12/N10/egn10w.1945E+02,nstxuG121123B12,candidate,10,4.4099759116256445,-2.767683604241849e-06,,,below_upper2,0.9927907986565837,0.9999998528118571,0.17,lower_max,0.17,0.0,0.011129457892104826,0.9779170476922583,0.09585289379426025,3,0,3,0.002364761921093428,0.0,0.002364761921093428,3.0138545326748994e-08,True,True,False,True,True,low@0.0648:W=0.00236476;low@0.1026:W=0.00117008;high@0.9094:W=3.01385e-08,low@0.0648:W=0.00236476;low@0.1026:W=0.00117008;high@0.9094:W=3.01385e-08
nstxuG121123B12/N10/egn10w.2406E+02,nstxuG121123B12,candidate,10,4.905066589594405,-9.940166799006111e-09,,,below_upper2,0.9914719501707524,0.9999999712031226,0.08,lower_max,0.085,0.0050000000000000044,0.0015673245170517193,0.9983713266165642,0.14975254564471654,1,0,1,3.7011330000445682e-09,0.0,3.7011330000445682e-09,3.7011330000445682e-09,True,True,True,True,True,high@0.8654:W=3.70113e-09,high@0.8654:W=3.70113e-09
nstxuG121123B12/N10/egn10w.2508E+02,nstxuG121123B12,candidate,10,5.007904422241169,-1.0060095923742992e-07,,,below_upper2,0.9766466634163582,0.9999996141860638,0.085,lower_max,0.085,0.0,0.022070242251337434,0.9971505542550176,0.14667736170968726,1,0,1,1.0603069449752928e-07,0.0,1.0603069449752928e-07,1.0603069449752928e-07,True,True,True,True,True,high@0.8555:W=1.06031e-07,high@0.8555:W=1.06031e-07
nstxuG121123B12/N10/egn10w.2828E+02,nstxuG121123B12,candidate,10,5.317608805149667,-3.128308020124582e-05,,,below_upper2,0.8146475320803214,0.9999110822054044,0.17,upper_min,0.17,0.0,0.025638805104022513,0.9032914375599482,0.1414706880757647,1,0,1,3.560725068726344e-05,0.0,3.560725068726344e-05,3.560725068726344e-05,True,True,True,True,True,high@0.8356:W=3.56073e-05,high@0.8356:W=3.56073e-05
nstxuG121123B12/N10/egn10w.2921E+02,nstxuG121123B12,candidate,10,5.4047837987457195,-1.2327261426895198e-08,,,below_upper2,0.7323254952528991,0.9999976878023323,0.085,upper_min,0.085,0.0,0.011588805101916814,0.994911343598988,0.12432173497221767,1,0,1,1.949605356315879e-07,0.0,1.949605356315879e-07,1.949605356315879e-07,True,True,True,True,True,high@0.8243:W=1.94961e-07,high@0.8243:W=1.94961e-07
nstxuG121123B12/N10/egn10w.2944E+02,nstxuG121123B12,candidate,10,5.426261639313892,-2.6277728613258346e-05,,,below_upper2,0.7737791757819709,0.9980013532732572,0.165,upper_min,0.17,0.0050000000000000044,0.00510191056949141,0.5303533877683886,0.13863794755709366,1,0,1,0.0017719616272700287,0.0,0.0017719616272700287,0.0017719616272700287,True,True,False,True,True,high@0.8235:W=0.00177196,high@0.8235:W=0.00177196
