model,n_matched,tn_bad,fp_bad_as_good,fn_good_as_bad,tp_good,accuracy,precision_good,recall_good,f1_good
rf,169,139,19,9,2,0.834319526627219,0.09523809523809523,0.18181818181818182,0.125
cnn,169,155,3,5,6,0.9526627218934911,0.6666666666666666,0.5454545454545454,0.6
combined_policy,169,139,19,9,2,0.834319526627219,0.09523809523809523,0.18181818181818182,0.125
